(UNITED STATES, v. YATES is, 2015)
(note, is in, Commission 's Manual)
(plurality, cites, note in Commission 's Manual clarifying)
(storage devices, used in, Guidelines)
(Commission, has, construction)
(documents, embraces, stuff relating)
(records, embraces, stuff)
(objects, embraces, stuff relating)
(objects, embraces, stuff relating to digital)
(note, make, plain)
(objects, embraces, stuff)
(records, embraces, stuff relating to digital)
(stuff, relating to, digital)
(documents, embraces, stuff relating to digital)
(tangible objects, embraces, stuff relating to digital)
(tangible objects, embraces, stuff)
(documents, embraces, stuff)
(tangible objects, embraces, stuff relating)
(records, embraces, stuff relating)
(fish, dumping of is, under plurality 's view felony)
(dumping, is, potentially federal felony)
(fish, dumping of is, even under plurality 's view federal felony)
(dumping, is potentially federal felony under, plurality 's view)
(fish, dumping of is, even under plurality 's view potentially federal felony)
(dumping, is, felony)
(fish, dumping of is, under plurality 's view potentially felony)
(dumping, is potentially federal felony under, c)
(fish, dumping of is, under plurality 's view potentially federal felony)
(fish, dumping of is, felony)
(fish, dumping of is, even under plurality 's view felony)
(dumping, is federal felony under, even plurality 's view)
(dumping, is felony under, c)
(dumping, is, federal)
(dumping, is, potentially felony)
(fish, dumping of is, potentially federal felony)
(dumping, is potentially federal felony under, even plurality 's view)
(fish, dumping of is, under plurality 's view federal felony)
(dumping, is felony under, plurality 's view)
(dumping, is federal felony under, c)
(fish, dumping of is, even under plurality 's view potentially felony)
(dumping, is potentially felony under, even plurality 's view)
(fish, dumping of is, federal felony)
(dumping, is potentially felony under, plurality 's view)
(dumping, is, federal felony)
(dumping, is potentially felony under, c)
(fish, dumping of is, potentially felony)
(dumping, is federal felony under, plurality 's view)
(dumping, is felony under, even plurality 's view)
(plurality, acknowledges In, event)
(he, focus on, text)
(citizen, seeks, notice of statute 's scope)
(he, is, likely)
(statute, of, scope)
(citizen, seeks, notice)
(ordinary citizen, seeks, notice)
(he, focus on, plain text)
(ordinary citizen, seeks, notice of statute 's scope)
(he, is, more likely)
(ordinary citizen, notice of, statute 's scope)
(citizen, notice of, statute 's scope)
(unknowns, be similar to, known knowns)
(known unknowns, be similar in, when play)
(noscitur canons, are in, play)
(unknowns, be, similar)
(unknowns, be similar to, knowns)
(unknowns, be similar in, play)
(known unknowns, be, similar)
(known unknowns, be similar to, knowns)
(known unknowns, be similar in, play)
(known unknowns, be similar to, known knowns)
(unknowns, be similar in, when play)
(noscitur canons, are in, when play)
(evidence, is in, investigation)
(All, are, useful)
(All, are potentially useful as, evidence)
(All, are, potentially useful)
(All, are useful as, evidence)
(All, are useful as, evidence in investigation)
(All, are potentially useful as, evidence in investigation)
