(UNITED STATES, v. ELONIS is, 2015)
(words, turns, ordinary citizen would react to language ibid.)
(citizen, would react ibid. to, language)
(words, turns, how ordinary citizen would react ibid.)
(words, turns, how ordinary citizen would react to language ibid.)
(words, turns, how citizen would react)
(words, turns, citizen would react ibid.)
(words, turns, citizen would react to language)
(words, turns, how citizen would react to language ibid.)
(he, makes, statements likely)
(words, turns, citizen would react)
(defendant, be guilty of, breach of peace)
(disturbance, violence of, order)
(words, turns, ordinary citizen would react to language)
(ordinary citizen, would react to, language)
(words, turns, citizen would react to language ibid.)
(defendant, be convicted of, mailing obscenity)
(defendant, be, convicted of mailing obscenity without proof)
(defendant, be, convicted of mailing obscenity under First Amendment)
(materials, were, obscene)
(defendant, be, convicted under First Amendment without proof)
(materials, were, legally obscene)
(defendant, be convicted without, proof)
(defendant, be, convicted)
(defendant, be, convicted of mailing obscenity under First Amendment without proof)
(defendant, be convicted under, First Amendment)
(120-124, at Hamling is, 418 U. S.)
(our precedents, allow, liability for false statements about private persons on matters of concern)
(our precedents, allow, liability for false statements about persons on matters)
(speaker, acted negligently with respect to, falsity of statements)
(our precedents, allow, liability in tort for false statements)
(our precedents, allow, liability)
(speaker, even acted negligently with respect to, falsity)
(our precedents, allow, liability in tort for false statements about persons)
(our precedents, allow, liability for false statements about private persons on matters)
(our precedents, allow liability, speaker acted negligently)
(our precedents, allow, liability in tort for false statements about private persons on matters of concern)
(our precedents, allow, liability for false statements about persons)
(our precedents, allow, liability for false statements about private persons)
(our precedents, allow, liability in tort for false statements about private persons)
(our precedents, allow, liability for false statements about persons on matters of concern)
(our precedents, allow, liability for false statements about persons on matters of private concern)
(speaker, even acted with respect to, falsity of statements)
(our precedents, allow, liability in tort for false statements about persons on matters)
(liability, is in, tort)
(our precedents, allow, liability for false statements about private persons on matters of private concern)
(our precedents, allow, liability for false statements)
(our precedents, allow liability, even speaker acted negligently)
(our precedents, allow, even speaker acted)
(our precedents, allow, liability in tort for false statements about private persons on matters of private concern)
(speaker, acted with respect to, falsity of statements)
(our precedents, allow, speaker acted)
(speaker, acted negligently with respect to, falsity)
(our precedents, allow, liability in tort for false statements about persons on matters of concern)
(our precedents, allow, liability in tort for false statements about persons on matters of private concern)
(our precedents, allow, liability in tort for false statements about private persons on matters)
(speaker, even acted with respect to, falsity)
(our precedents, allow liability, speaker acted)
(our precedents, allow, liability in tort)
(our precedents, allow, speaker acted negligently)
(speaker, acted with respect to, falsity)
(our precedents, allow liability, even speaker acted)
(speaker, even acted negligently with respect to, falsity of statements)
(our precedents, allow, even speaker acted negligently)
(criminal threat statute, be deployed by, Government)
(threat statute, suppress, speech)
(threat statute, be, deployed)
(criminal threat statute, suppress, legitimate speech)
(threat statute, suppress, legitimate speech)
(criminal threat statute, be, deployed)
(criminal threat statute, suppress, speech)
(threat statute, be deployed by, Government)
(response, adhere to, our rule)
(class unprotected, be, proscribed)
(class, be, proscribed)
(proper response, adhere to, our rule)
(response, is, adhere to our traditional rule)
(response, is, adhere)
(narrow class unprotected, be, proscribed)
(response, adhere to, our traditional rule)
(proper response, is, adhere to our rule)
(class, be, constitutionally proscribed)
(response, is, adhere to our rule)
(narrow class unprotected, be, constitutionally proscribed)
(proper response, adhere to, our traditional rule)
(narrow class, be, constitutionally proscribed)
(narrow class, be, proscribed)
(class unprotected, be, constitutionally proscribed)
(proper response, is, adhere to our traditional rule)
(proper response, is, adhere)
(it, does, decision warp)
(it, does, such decision warp)
(it, results in, distinction)
(it, results in, distinction between threats)
(it, results in, arbitrary distinction between threats)
(it, results in, arbitrary distinction)
(he, could, could have prosecuted irrespective)
(he, could, could have prosecuted)
(Elonis, Had mailed materials to, his wife)
(Elonis, Had mailed, materials)
(Elonis, Had mailed, obscene materials)
(he, kill, kindergarten class)
(he, kill, his wife)
(we, cast aside, mental-state requirement compelled)
(we, cast aside, mental-state requirement)
(we, offer nothing in, its place)
(it, should, should case)
(we, cast, requirement)
(we, offer, nothing)
(we, cast aside, requirement compelled by our precedents)
(we, cast, requirement compelled by our precedents)
(we, cast, mental-state requirement compelled)
(we, cast, requirement compelled)
(we, cast aside, requirement)
(we, cast, mental-state requirement)
(we, cast aside, requirement compelled)
(we, cast, mental-state requirement compelled by our precedents)
(we, yet offer, nothing)
(we, cast aside, mental-state requirement compelled by our precedents)
(we, yet offer nothing in, its place)
(majority, Given, ostensible concern protecting)
(it, announce rule, clear rule)
(today, has, decision)
