(October 5 2016, Decided at_time, February 22 2017)
(decrying, use in, justice system)
(use, is in, justice system)
(Texas attorney general, issued, press release)
(Texas attorney general, issued press release in, response to testimony)
(Texas attorney general, waived, procedural obstacles)
(Court, notes In, conjunction)
(Court, notes In, conjunction with its observations)
(Texas attorney general, issued press release in, response)
(Texas attorney general, issued press release in, response to similar testimony from Dr. Quijano)
(similar testimony, is in, case)
(Court, notes In, conjunction with its observations about race)
(conjunction, is with, its observations about race)
(Texas attorney general, issued press release in, response to similar testimony)
(Texas attorney general, issued press release in, response to testimony from Dr. Quijano)
(Texas attorney general, subsequently waived, procedural obstacles)
(good reason, treating, case)
(good reason, treating differently, case)
(reason, treating, case)
(reason, treating differently, case)
(it, can, where can said)
(it, can, can said)
(Court, Lastly belittles, Texas ' interest in finality)
(Court, Lastly belittles, Texas ' interest)
(Court, belittles, Texas ' interest)
(Court, belittles, Texas ' claimed interest)
(Court, Lastly belittles, Texas ' claimed interest in finality)
(Court, belittles, Texas ' claimed interest in finality)
(Court, belittles, Texas ' interest in finality)
(Court, Lastly belittles, Texas ' claimed interest)
(Texas ' claimed interest, is in, finality)
(it, waived, its defenses)
(it, waived, its procedural defenses)
(Texas, effectively forfeited, its finality interest)
(majority, In, view)
(Texas, forfeited, its finality interest)
(Finality advances values, essential to, operation)
(Finality advances values, essential to, operation of our justice system)
(Finality advances values, essential to, operation of our criminal justice system)
(it, peace of, mind)
(it, provides peace to, wrongdoer 's victims)
(it, ensures, clarity)
(it, clarity of, legal rights)
(it, confidence in, justice system)
(it, promotes, public confidence)
(it, conserves, limited public resources)
(wrongdoer, to, victims)
(it, conserves, public resources)
(it, provides, peace of mind)
(it, clarity of, rights)
(it, provides, peace)
(it, conserves, limited resources)
(it, ensures, clarity of rights)
(it, ensures, clarity of legal rights)
(it, promotes, confidence in justice system)
(it, promotes, public confidence in justice system)
(public confidence, is in, justice system)
(it, conserves, resources)
(law, has, deterrent effect)
(it, promotes, confidence)
(it, public confidence in, justice system)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's rejection)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's original rejection)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's original rejection of habeas relief)
(Court 's finality analysis, ignores, passage of time)
(Court 's finality analysis, also ignores, lengthy passage of time)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's rejection in case)
(Court 's finality analysis, also ignores, passage of time between District Court 's rejection)
(Court 's finality analysis, ignores, passage of time between District Court 's original rejection in case)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's original rejection of habeas relief)
(Court 's finality analysis, ignores, passage of time between District Court 's original rejection of habeas relief in case)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's rejection of habeas relief)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's rejection of habeas relief in case)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's rejection in case)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's rejection of habeas relief in case)
(Court 's finality analysis, also ignores, passage of time between District Court 's original rejection of habeas relief in case)
(Court 's finality analysis, ignores, passage)
(Court 's finality analysis, ignores, lengthy passage)
(Court 's finality analysis, also ignores, lengthy passage)
(Court 's finality analysis, also ignores, passage of time)
(Court 's finality analysis, ignores, passage of time between District Court 's rejection)
(Court 's finality analysis, ignores, passage of time between District Court 's original rejection)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's rejection)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's original rejection in case)
(Court 's finality analysis, ignores, passage of time between District Court 's rejection of habeas relief in case)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's rejection of habeas relief)
(Court 's finality analysis, ignores, passage of time between District Court 's original rejection of habeas relief)
(Court 's finality analysis, also ignores, passage of time between District Court 's rejection of habeas relief in case)
(Court 's finality analysis, also ignores, passage of time between District Court 's rejection of habeas relief)
(Court 's finality analysis, also ignores, passage of time between District Court 's original rejection in case)
(District Court 's original rejection, is in, case)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's original rejection of habeas relief in case)
(Court 's finality analysis, also ignores, lengthy passage of time between District Court 's original rejection of habeas relief in case)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's original rejection)
(Court 's finality analysis, ignores, passage of time between District Court 's rejection of habeas relief)
(Court 's finality analysis, also ignores, passage of time between District Court 's rejection in case)
(District Court, between, original rejection of habeas relief in case)
(petitioner, has, filing of instant Rule 60)
(Court 's finality analysis, ignores, passage of time between District Court 's rejection in case)
(Court 's finality analysis, also ignores, passage of time between District Court 's original rejection of habeas relief)
(Court, has, finality analysis)
(Court 's finality analysis, ignores, lengthy passage of time between District Court 's original rejection in case)
(Court 's finality analysis, also ignores, passage of time between District Court 's original rejection)
(Court 's finality analysis, ignores, lengthy passage of time)
(Court 's finality analysis, also ignores, passage)
(District Court 's original rejection, between time is, nearly eight years)
(would district court 's discretion, is In, cases)
(relevant change, is in, procedural law)
(today, has, opinion)
(today 's opinion, should have effect on, broader law)
(today 's opinion, should have, effect)
(today 's opinion, should have effect on, law)
(today 's opinion, should have effect Despite, its errors)
(today 's opinion, should have effect for, two reasons)
(today 's opinion, should have, little effect)
(Court 's reasoning, is, highly factbound)
(facts, are, unlikely)
(Court 's reasoning, is highly factbound For, one thing)
(Court 's reasoning, is factbound For, one thing)
(Court 's reasoning, is, factbound)
(Court, has, reasoning)
(it, actually alter, any of principles)
(majority misapplies, settled, principles)
(majority, has, single-minded focus according)
(relief, limits, reach)
(relief, naturally limits, reach)
(relief, naturally limits, reach of its decision)
(This, is, unusual)
(reach, relief to, petitioner)
(relief, limits, reach of its decision)
(reach, relief on, facts)
(today, has, decision)
(today 's decision, will provide guidance In, cases)
(today 's decision, will provide, little guidance)
(today 's decision, will provide, guidance)
(Court, has, ultimate conclusion)
(Court 's ultimate conclusion, relies on, convergence)
(Court 's conclusion, relies on, convergence)
(Court places, First special weight on, fact)
(Court places, First weight on, fact)
(Court places, weight on, fact)
(Court places, special weight on, fact)
(petitioner, was deserving, black)
(petitioner, was more deserving of, death penalty)
(he, is, black)
(petitioner, was, more deserving)
(petitioner, was deserving of, death penalty)
(petitioner, was more deserving, black)
(testimony, was, racial)
(testimony, was, expressly racial)
(petitioner, was, deserving)
(Dr. Quijano, has, testimony in case)
(state attorney, took, remarkable steps)
(state attorney, took, steps)
(state attorney general, took, remarkable steps)
(Dr. Quijano 's testimony, is in, case)
(his, is, disturbing)
(state attorney general, took, steps)
(Dr. Quijano, to, testimony)
(effect, is limited for, reason)
(effect, is also limited for, second reason)
(effect, is, limited)
(effect, is also limited for, reason)
(effect, is limited for, second reason)
(today, of, decision)
(effect, is, also limited)
(it, announcing, new principles of law)
(courts, apply, as usual)
(it, leaves, untouched)
(courts, apply, usual)
(applications, Courts of, appeals)
(opinion, leaves, Miller-El 's COA standard for habeas petitions)
(opinion, leaves, intact Miller-El 's well-worn COA standard for habeas petitions)
(opinion, leaves, intact Miller-El 's COA standard for habeas petitions)
(opinion, leaves, intact Miller-El 's COA standard)
(district court, has, ruling)
(opinion, leaves, intact Miller-El 's well-worn COA standard)
(opinion, leaves, Miller-El 's well-worn COA standard for habeas petitions)
(opinion, leaves, Miller-El 's COA standard)
(opinion, leaves, Miller-El 's well-worn COA standard)
(Courts, have, discretion deciding)
(Courts, have, substantial discretion deciding)
(Court, reaffirms, deferential)
(Court, reaffirms, highly deferential)
(Court, also reaffirms, deferential)
(Court, also reaffirms, highly deferential)
(105, at Harrington is, 562 U. S.)
(689, at Strickland is, 466 U. S.)
(wide latitude counsel, constitutionally protected independence of, counsel)
(latitude counsel, protected independence of, counsel)
(wide latitude counsel, independence of, counsel)
(wide latitude counsel, making, decisions)
(latitude counsel, constitutionally protected independence of, counsel)
(latitude counsel, making, decisions)
(latitude counsel, independence of, counsel)
(wide latitude counsel, making, tactical decisions)
(Courts, applying, Strickland)
(wide latitude counsel, protected independence of, counsel)
(latitude counsel, making, tactical decisions)
(adequate assistance, made, significant decisions)
(Counsel, should, should strongly presumed)
(Counsel, rendered, adequate assistance)
(assistance, made, significant decisions)
(Counsel, rendered, assistance)
(Counsel, should, should presumed)
(defendant, can show, prejudice)
(112, at Harrington is, supra)
(interpretation, is, essential)
(strict interpretation, is essential, finality is)
(interpretation, is essential, finality of judgments is)
(finality, be, preserved)
(strict interpretation, is, essential)
(strict interpretation, is essential, finality of judgments is)
(interpretation, is essential, finality is)
(finality, is, preserved)
(535, at Gonzalez is, 545 U. S.)
(movant, can show, extraordinary circumstances)
(movant, can show, circumstances)
(movant, only can show, circumstances)
(district court, may grant, relief)
(movant, only can show, extraordinary circumstances)
(change, is in, law)
(district court, has, decision deny)
(change, is, central)
(change, is in, law effected by Martinez)
(it, Instead treats Martinez claim as, precondition)
(it, treats Martinez claim as, precondition)
(it, Instead treats, potentially viable Martinez claim)
(it, treats, viable Martinez claim)
(it, Instead treats, Martinez claim)
(it, Instead treats Martinez claim as, precondition to relief)
(it, treats Martinez claim as, precondition to relief)
(it, treats, potentially viable Martinez claim)
(it, treats, Martinez claim)
(it, Instead treats, viable Martinez claim)
(nothing, demonstrate, existence of circumstances)
(nothing, demonstrate, existence)
(absence, is disqualifying For, those)
(petitioner, in, position)
(nothing, demonstrate, existence of extraordinary circumstances)
(absence, presence of, one)
(absence, is disqualifying For, those in petitioner 's position)
(Court, has, opinion)
(petitioner must establish, was, constitutionally ineffective)
(petitioner must establish, was constitutionally ineffective, failing)
(petitioner, succeed under, Martinez)
(petitioner must establish, was, ineffective)
(petitioner must establish, was ineffective, failing)
(petitioner, must establish, succeed)
(petitioner, must establish, succeed under Martinez)
(his state, habeas, counsel)
(Today, has, decision)
(COA, is, needed)
(COA, appeal, denial)
(COA, is needed, appeal)
(Federal Courts, appear, disagree)
(Federal Courts, disagree, needed)
(we, assume, keeping with approach adopted in their briefs)
(COA, is, required)
(we, assume, keeping)
(we, keeping with, approach adopted by Fifth Circuit below parties)
(we, keeping with, approach adopted by Fifth Circuit in their briefs)
(we, keeping with, approach adopted in their briefs)
(we, keeping with, approach adopted by Fifth Circuit below parties in their briefs)
(we, assume, keeping with approach adopted by Fifth Circuit below parties in their briefs)
(we, keeping with, approach adopted by Fifth Circuit)
(we, assume, keeping with approach adopted by Fifth Circuit)
(we, assume, keeping with approach adopted)
(COA, is, required here)
(we, assume, deciding)
(we, keeping with, approach)
(we, keeping with, approach adopted)
(we, assume, keeping with approach adopted by Fifth Circuit below parties)
(we, assume, keeping with approach adopted by Fifth Circuit in their briefs)
(we, assume, keeping with approach)
(Dr. Quijano, has, testimony)
(majority, under, reasoning)
(Dr. Quijano 's testimony, is, relevant)
(Buck, been, sentenced)
(Buck, been sentenced because of, his race)
(Buck, been, sentenced to death in part)
(Buck, been sentenced in, part)
(Buck, been sentenced to, death)
(prosecution, asked, question about his views on race)
(single question, prosecution on, cross-examination)
(prosecution, asked, single question)
(question, prosecution on, cross-examination)
(prosecution, asked, question about his views)
(prosecution, asked, Dr. Quijano)
(prosecution, asked, single question about his views)
(prosecution, asked, single question about his views on race)
(prosecution, asked, question)
(petitioner, was, likely)
(petitioner, was, more likely)
(he, is, male)
(petitioner, was likely, male)
(petitioner, was more likely, male)
(Court, to, reasoning)
