(November 29 2016, Decided at_time, March 28 2017)
(CCA, reviewed, factors)
(Moore 's deficits, were related to, his functioning)
(CCA, of, adaptive functioning analysis)
(CCA 's assessment, is irreconcilable with, Hall)
(Moore, of, IQ scores)
(CCA, has, assessment of IQ scores)
(CCA 's assessment, is, irreconcilable)
(over-70 score, of measurement is, SEM)
(Hall, thereby barring, consideration of standard error of measurement)
(Hall, thereby barring, consideration)
(Hall, barring, consideration of standard error of measurement of over-70 score)
(Hall, barring, consideration of error)
(Hall, barring, consideration)
(prisoner, present, IQ score)
(Hall, thereby barring, consideration of error of measurement)
(Hall, barring, consideration of error of measurement of score)
(Hall, barring, consideration of standard error of measurement)
(Hall, thereby barring, consideration of error of measurement of over-70 score)
(Hall, barring, consideration of standard error)
(Hall, barring, consideration of error of measurement of over-70 score)
(Hall, thereby barring, consideration of standard error of measurement of score)
(Hall, thereby barring, consideration of standard error of measurement of over-70 score)
(Hall, thereby barring, consideration of error)
(Hall, thereby barring, consideration of standard error)
(Hall, barring, consideration of standard error of measurement of score)
(Hall, barring, consideration of error of measurement)
(Hall, thereby barring, consideration of error of measurement of score)
(prisoner, present, IQ score of 70)
(CCA, anything like, it)
(Moore 's tested score, led to, IQ range)
(court, began in, fact)
(court, taking, account of SEM)
(court, began, explaining)
(Moore, has, tested score of 74)
(Moore 's score, led to, IQ range)
(court, taking, account)
(court, consider, expert testimony)
(court, went on, consider)
(court, consider, additional expert testimony)
(court, consider, additional expert testimony about potential factors)
(court, consider, expert testimony about potential factors)
(CCA, discounted, portions of range)
(Moore, has, IQ)
(CCA, discounted, portions)
(CCA, discounted portions Based on, evidence)
(CCA, discounted, portions of SEM-generated range)
(SEM-generated range, accurately reflected, prisoner 's IQ .1 in its catalog)
(SEM-generated range, reflected, prisoner 's actual IQ .1 Indeed)
(range, accurately reflected, prisoner 's IQ .1 Indeed in its catalog of States)
(range, reflected, prisoner 's actual IQ .1 Indeed in its catalog)
(range, accurately reflected, prisoner 's IQ .1 Indeed in its catalog)
(range, reflected, prisoner 's actual IQ .1)
(SEM-generated range, reflected, prisoner 's actual IQ .1)
(range, accurately reflected, prisoner 's actual IQ .1)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1 in its catalog)
(SEM-generated range, reflected, prisoner 's IQ .1 Indeed in its catalog of States)
(range, reflected, prisoner 's IQ .1)
(SEM-generated range, reflected, prisoner 's IQ .1 in its catalog of States)
(range, reflected, prisoner 's IQ .1 in its catalog of States)
(range, accurately reflected, prisoner 's IQ .1 Indeed)
(range, reflected, prisoner 's actual IQ .1 in its catalog of States)
(range, accurately reflected, prisoner 's IQ .1 in its catalog)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1 Indeed in its catalog)
(range, reflected, prisoner 's IQ .1 Indeed)
(SEM-generated range, accurately reflected, prisoner 's IQ .1 Indeed in its catalog of States)
(range, accurately reflected, prisoner 's IQ .1)
(imprecision, considering, evidence determine)
(SEM-generated range, reflected, prisoner 's IQ .1 in its catalog)
(prisoner 's IQ .1, SEM-generated range of, scores)
(imprecision, considering, additional evidence determine)
(SEM-generated range, reflected, prisoner 's IQ .1 Indeed)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1 Indeed)
(range, reflected, prisoner 's IQ .1 Indeed in its catalog)
(range, reflected, prisoner 's IQ .1 Indeed in its catalog of States)
(SEM-generated range, reflected, prisoner 's IQ .1 Indeed in its catalog)
(range, accurately reflected, prisoner 's actual IQ .1 in its catalog of States)
(inherent imprecision, considering, evidence determine)
(range, accurately reflected, prisoner 's actual IQ .1 Indeed)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1 in its catalog of States)
(SEM-generated range, reflected, prisoner 's actual IQ .1 Indeed in its catalog)
(trial courts, draw, reasonable inferences)
(prisoner 's IQ .1, range of, scores)
(range, accurately reflected, prisoner 's actual IQ .1 Indeed in its catalog of States)
(Court, is in, Hall)
(range, reflected, prisoner 's IQ .1 in its catalog)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1)
(range, reflected, prisoner 's actual IQ .1 Indeed)
(range, accurately reflected, prisoner 's actual IQ .1 Indeed in its catalog)
(prisoner, has, actual IQ .1 Indeed in catalog of States)
(inherent imprecision, considering, additional evidence determine)
(ha, position contrary to, that)
(range, reflected, prisoner 's actual IQ .1 Indeed in its catalog of States)
(SEM-generated range, accurately reflected, prisoner 's actual IQ .1 Indeed in its catalog of States)
(range, accurately reflected, prisoner 's actual IQ .1 in its catalog)
(range, reflected, prisoner 's actual IQ .1 in its catalog)
(SEM-generated range, reflected, prisoner 's actual IQ .1 in its catalog)
(SEM-generated range, accurately reflected, prisoner 's IQ .1 in its catalog of States)
(SEM-generated range, accurately reflected, prisoner 's IQ .1 Indeed in its catalog)
(trial courts, draw inferences about, IQ scores)
(SEM-generated range, reflected, prisoner 's actual IQ .1 in its catalog of States)
(prisoner 's actual IQ .1, is in, its catalog of States)
(SEM-generated range, accurately reflected, prisoner 's IQ .1 Indeed)
(range, accurately reflected, prisoner 's IQ .1 in its catalog of States)
(SEM-generated range, accurately reflected, prisoner 's IQ .1)
(SEM-generated range, reflected, prisoner 's actual IQ .1 Indeed in its catalog of States)
(trial courts, draw, inferences)
(ha, position contrary to, that of Florida)
(SEM-generated range, reflected, prisoner 's IQ .1)
(prisoner 's actual IQ .1, range of, scores)
(prisoner 's actual IQ .1, SEM-generated range of, scores)
(approach, was contrary to, Florida 's rule in Hall)
(Florida, to, rule in Hall)
(Florida 's rule, is in, Hall)
(approach, was contrary to, Florida 's rule)
(approach, was, contrary)
(Court, has, ruling on intellectual functioning turns solely on fact)
(Moore, has, IQ range)
(Moore, of, score range)
(other factors, led, it)
(CCA, assessing, IQ)
(factors, led, it)
(CCA, assessing, Moore 's IQ)
(it, can find violation, Only insisting on absolute conformity)
(it, can find violation, Only insisting on conformity)
(it, Only insisting on, absolute conformity)
(it, insisting on, absolute conformity)
(it, can find, violation)
(it, can find violation, insisting on conformity)
(it, can find, violation of Eighth Amendment)
(it, can find violation, insisting)
(it, can find violation, Only insisting)
(it, Only insisting on, conformity)
(it, insisting on, conformity)
(it, can find violation, insisting on absolute conformity)
(Court, is wrong, concluding)
(Court, is just wrong at_time, today)
(Eighth Amendment, turns on, slightest numerical difference in IQ score)
(slightest numerical difference, is in, IQ score)
(Court, is just as wrong, concluding)
(Eighth Amendment, turns on, numerical difference)
(Court, is wrong at_time, today)
(Court, is, just wrong)
(Eighth Amendment, turns on, slightest numerical difference)
(Eighth Amendment, turns on, slightest difference)
(Eighth Amendment, turns on, slightest difference in IQ score)
(Court, is just wrong in, Hall)
(Eighth Amendment, turns on, difference in IQ score)
(Court, is as wrong, concluding)
(Court, is, wrong)
(Court, is just wrong, concluding)
(Florida Supreme Court, was in, Hall)
(Court, is as wrong in, Hall)
(Eighth Amendment, turns on, difference)
(Court, is as wrong at_time, today)
(Court, is just as wrong at_time, today)
(Court, is just as wrong in, Hall)
(Court, is wrong in, Hall)
(Court, is, as wrong)
(Court, is, just as wrong)
(Eighth Amendment, turns on, numerical difference in IQ score)
(it, is expansion of, it)
(Today, has, decision)
(it, is, expansion)
(reasons, expand, Hall 's holding)
(Moore, of, IQ range)
(Hall, has, holding)
(our precedent, requires, state judgments)
(our precedent, requires, consulting state judgments)
(our precedent, requires, consulting state judgments on matter)
(our precedent, requires, state judgments on matter)
(our precedent, requires state judgments, holding)
(o ne, must on, must guard against finding)
(o ne, must on, must guard)
(finding, is in, personal disapproval)
(o ne, must on, must guard against finding in disapproval)
(o ne, must on, must guard against finding in personal disapproval)
(CCA, is, Texas ' court in cases)
(CCA, is, Texas ' court of last resort in criminal cases)
(CCA, is, Texas ' court in criminal cases)
(Texas ' court, is in, criminal cases)
(CCA, is, Texas ' court of last resort in cases)
(CCA, is, Texas ' court of resort in criminal cases)
(CCA, is, Texas ' court of resort in cases)
(CCA, is, Texas ' court of resort)
(CCA, is, Texas ' court of last resort)
(CCA, is, Texas ' court)
(CCA, court of, first instance)
(ultimate factfinder, is in, habeas corpus proceedings)
(S. W., 3d, 727 Tex.)
(271 S. W., 3d, 727 Tex.)
(470 S. W., 3d, 489 Tex.)
(S. W., 3d, 489 Tex.)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered elsewhere in its opinion)
(habeas court, seventh score of, 59 on WAIS-IV test administered)
(habeas court, seventh score elsewhere of, 59 on WAIS-IV test administered)
(habeas court, considered, seventh score of 59 on WAIS-IV test elsewhere in its opinion)
(habeas court, considered, score elsewhere in its opinion)
(habeas court, score of, 59 on WAIS-IV test administered in 2013)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered elsewhere)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered in 2013 elsewhere)
(habeas court, considered, seventh score of 59 on WAIS-IV test)
(habeas court, seventh score of, 59 on WAIS-IV test)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered in 2013 elsewhere in its opinion)
(habeas court, considered, score of 59 on WAIS-IV test administered elsewhere in its opinion)
(habeas court, score elsewhere of, 59 on WAIS-IV test)
(habeas court, considered, score)
(habeas court, considered, seventh score)
(habeas court, considered, score of 59 on WAIS-IV test administered)
(habeas court, considered, score of 59 on WAIS-IV test administered in 2013 elsewhere)
(habeas court, score elsewhere of, 59 on WAIS-IV test administered in 2013)
(habeas court, considered, score of 59 on WAIS-IV test elsewhere in its opinion)
(habeas court, considered, score elsewhere)
(habeas court, score of, 59 on WAIS-IV test)
(habeas court, considered, seventh score of 59 on WAIS-IV test elsewhere)
(habeas court, seventh score of, 59 on WAIS-IV test administered in 2013)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered in 2013)
(habeas court, considered, score of 59 on WAIS-IV test)
(habeas court, seventh score elsewhere of, 59 on WAIS-IV test)
(habeas court, considered, seventh score elsewhere in its opinion)
(habeas court, score of, 59 on WAIS-IV test administered)
(habeas court, considered, score of 59 on WAIS-IV test administered in 2013 elsewhere in its opinion)
(habeas court, seventh score elsewhere of, 59 on WAIS-IV test administered in 2013)
(habeas court, score elsewhere of, 59 on WAIS-IV test administered)
(habeas court, considered, score of 59 on WAIS-IV test administered in 2013)
(habeas court, considered, seventh score of 59 on WAIS-IV test administered)
(habeas court, considered, score of 59 on WAIS-IV test elsewhere)
(habeas court, considered, score of 59 on WAIS-IV test administered elsewhere)
(habeas court, considered, seventh score elsewhere)
(his, family, authorities)
(TLRbull2, act, so)
(his conduct, is, impulsive)
(person, carried, them)
(he, is led around by, others)
(his conduct, is in, response to external stimuli)
(his responses, do wander from, subject subject)
(person, lie effectively in, his own)
(person, Can hide, facts)
(person, lie in, his own)
(commission, execution of, purpose)
(commission, did require, forethought)
(commission, complex execution of, purpose)
(commission, did require, execution of purpose)
(commission, did require, complex execution)
(commission, did require, execution)
(commission, did require, planning)
(commission, did require, complex execution of purpose)
(dissent, characterizes as, grant trial courts)
(Hall, approved, Idaho 's approach)
(Hall, tacitly approved, Idaho 's approach)
(Idaho, has, approach to capital sentencing)
(___, at Hall is, 572 U. S.)
(State, passed, legislation)
(State, passed, legislation allowing)
(We, referred, only note)
(We, referred however, only note)
(We, referred however to, Idaho 's capital-sentencing scheme)
(We, referred, note)
(We, referred however, note)
(We, referred to, Idaho 's capital-sentencing scheme)
(Idaho, to, capital-sentencing scheme)
(disagreement, exists about, role of strengths in inquiry)
(disagreement, exists about, precise role)
(disagreement, exists about, precise role of strengths in adaptive-functioning inquiry)
(disagreement, exists about, role of adaptive strengths)
(precise role, is in, adaptive-functioning inquiry)
(disagreement, exists about, precise role of strengths in inquiry)
(disagreement, exists about, role in inquiry)
(disagreement, exists about, role of adaptive strengths in inquiry)
(disagreement, exists about, role of adaptive strengths in adaptive-functioning inquiry)
(disagreement, exists about, precise role of strengths)
(disagreement, exists about, precise role in adaptive-functioning inquiry)
(disagreement, exists about, precise role of adaptive strengths in adaptive-functioning inquiry)
(disagreement, exists about, precise role of adaptive strengths in inquiry)
(disagreement, exists about, role of strengths in adaptive-functioning inquiry)
(disagreement, exists about, precise role in inquiry)
(disagreement, exists about, role)
(disagreement, exists about, role in adaptive-functioning inquiry)
(disagreement, exists about, precise role of adaptive strengths)
(disagreement, exists about, role of strengths)
(clinicians, would consider within, same domain)
(clinicians, would consider, adaptive strengths alongside weaknesses)
(clinicians, even would consider within, same domain)
(clinicians, even would consider, strengths alongside adaptive weaknesses)
(clinicians, even would consider within, same adaptive-skill domain)
(clinicians, would consider, adaptive strengths alongside adaptive weaknesses)
(470 S. W., 3d at, 520-526)
(clinicians, would consider, adaptive strengths)
(clinicians, would consider within, same adaptive-skill domain)
(clinicians, would consider, strengths alongside weaknesses)
(clinicians, would consider strengths within, domain)
(S. W., 3d at, 520-526)
(clinicians, would consider strengths within, same adaptive-skill domain)
(clinicians, would consider, strengths alongside adaptive weaknesses)
(clinicians, even would consider strengths within, same domain)
(clinicians, even would consider, adaptive strengths alongside adaptive weaknesses)
(clinicians, even would consider within, adaptive-skill domain)
(clinicians, even would consider, strengths)
(clinicians, even would consider, adaptive strengths)
(clinicians, would consider within, adaptive-skill domain)
(clinicians, would consider strengths within, adaptive-skill domain)
(clinicians, even would consider, strengths alongside weaknesses)
(clinicians, even would consider strengths within, adaptive-skill domain)
(clinicians, even would consider strengths within, domain)
(clinicians, would consider strengths within, same domain)
(clinicians, even would consider, adaptive strengths alongside weaknesses)
(clinicians, would consider, strengths)
(clinicians, even would consider strengths within, same adaptive-skill domain)
(clinicians, would consider within, domain)
(clinicians, even would consider within, domain)
(S. W., 3d at, 13-14)
(regarded risk factors, see, supra)
(S. W., 3d at, 527)
(470 S. W., 3d at, 13-14)
(470 S. W., 3d at, 526-527)
(470 S. W., 3d at, 527)
(S. W., 3d at, 526-527)
(risk factors, see, supra)
(it, is, unsurprising)
(it, is unsurprising Given, Briseno factors ' flaws)
(experts, long criticized, factors)
(scholars, criticized, factors)
(experts, criticized, factors)
(scholars, long criticized, factors)
(American Bar Assn., Fairness in, State Death Penalty Systems)
(Evaluating Fairness, is in, State Death Penalty Systems)
(Mental Retardation, is in, Death Penalty Cases)
(Clinical Definitions, from Deviations is, 18 Cornell J. L.)
(Pol, ' y is, 2009)
(subcategory, is with, intellectual disabilities from execution)
(470 S. W., also 3d at, 529-530)
(S. W., also 3d at, 529-530)
(S. W., 3d at, 529-530)
(470 S. W., 3d at, 529-530)
(analysis, is, complicated endeavor)
(Atkins claimant, presents, scores)
(analysis, is, jointly endeavor)
(multiple IQ scores, analysis of is, jointly complicated endeavor)
(multiple IQ scores, analysis of is, jointly endeavor)
(multiple IQ scores, analysis of is, complicated endeavor)
(IQ scores, analysis of is, complicated endeavor)
(Atkins claimant, presents, multiple scores)
(IQ scores, analysis of is, jointly complicated endeavor)
(IQ scores, analysis of is, jointly endeavor)
(analysis, is, jointly complicated endeavor)
(analysis, is, complicated)
(multiple IQ scores, analysis of is, endeavor)
(analysis, is, endeavor)
(IQ scores, analysis of is, endeavor)
(prisoner, presented, scores)
(prisoner, presented, additional higher scores)
(Court, has, definition of deficient intellectual functioning)
(prisoner, presented, additional scores)
(prisoner, presented, higher scores)
(Hall, cited Pizzuto as, instance)
(Hall, cited, Pizzuto)
(___, at Hall is, 572 U. S.)
(prisoner 's IQ, fell, 146 Idaho)
(prisoner 's IQ, likely fell, 146 Idaho at 729)
(prisoner 's IQ, likely fell, 202 P. 3d)
(prisoner, has, IQ)
(prisoner 's IQ, likely fell at, 651)
(prisoner 's IQ, fell within, SEM range)
(prisoner 's IQ, fell at, 651)
(prisoner 's IQ, likely fell within, SEM range)
(prisoner 's IQ, fell, 202 P. 3d)
(prisoner 's IQ, likely fell, 146 Idaho)
(prisoner 's IQ, fell, 146 Idaho at 729)
(Error, is in, intellectual assessment)
