(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(They, instead seek to, exempt breath tests from warrant requirement)
(They, instead seek to, breath tests from warrant requirement categorically under search-incident-to-arrest doctrine)
(They, seek to, breath tests from warrant requirement under doctrine)
(They, seek to, exempt breath tests from warrant requirement)
(They, seek to, exempt breath tests)
(They, seek to, exempt breath tests from warrant requirement under doctrine)
(They, seek to, breath tests from warrant requirement)
(They, instead seek to, breath tests)
(They, seek to, breath tests from warrant requirement categorically under search-incident-to-arrest doctrine)
(They, instead seek to, exempt breath tests from warrant requirement under doctrine)
(They, instead seek to, exempt breath tests from warrant requirement under search-incident-to-arrest doctrine)
(They, instead seek to, breath tests from warrant requirement under doctrine)
(They, seek to, exempt breath tests from warrant requirement categorically under search-incident-to-arrest doctrine)
(They, instead seek to, breath tests from warrant requirement)
(Both, are, wrong)
(governmental interest, ever requires in, light)
(interest, requires in, light of privacy interest)
(legitimate interest, ever requires in, light of privacy interest at stake)
(Court 's framework, asks, discussed above)
(legitimate governmental interest, ever requires in, light)
(governmental interest, ever requires in, light of privacy interest at stake)
(interest, conducting breath searches without, warrant)
(interest, requires in, light of privacy interest at stake)
(interest, ever requires in, light of privacy interest)
(governmental interest, requires, exception)
(governmental interest, requires, categorical exception)
(Court 's traditional framework, asks regardless of, exception)
(Court 's traditional framework, asks, discussed above)
(legitimate interest, conducting breath searches without, warrant)
(interest, ever requires in, light)
(legitimate governmental interest, conducting, breath searches)
(governmental interest, requires in, light of privacy interest at stake)
(legitimate governmental interest, conducting breath searches without, warrant)
(Court, has, traditional framework)
(governmental interest, conducting, breath searches)
(governmental interest, requires in, light of privacy interest)
(legitimate interest, requires in, light of privacy interest)
(governmental interest, conducting breath searches without, warrant)
(interest, ever requires in, light of privacy interest at stake)
(legitimate governmental interest, requires in, light of privacy interest at stake)
(legitimate governmental interest, requires in, light)
(governmental interest, ever requires in, light of privacy interest)
(requires, exception to, warrant requirement)
(interest, conducting, breath searches)
(legitimate interest, requires in, light of privacy interest at stake)
(legitimate governmental interest, requires in, light of privacy interest)
(legitimate interest, conducting, breath searches)
(governmental interest, requires, categorical exception to warrant requirement)
(legitimate governmental interest, ever requires in, light of privacy interest)
(legitimate governmental interest, ever requires in, light of privacy interest at stake)
(legitimate interest, requires in, light)
(interest, requires, exception to warrant requirement)
(interest, requires in, light)
(interest, requires, categorical exception)
(legitimate interest, ever requires in, light of privacy interest)
(interest, requires, exception)
(governmental interest, requires, exception to warrant requirement)
(interest, requires, categorical exception to warrant requirement)
(Court 's framework, asks regardless of, exception)
(governmental interest, requires in, light)
(requires, categorical exception to, warrant requirement)
(Court 's framework, asks, discussed)
(Court 's traditional framework, asks, discussed)
(legitimate interest, ever requires in, light)
(framework, directs, conclusion)
(categorical search-incident-to-arrest rule, is, unnecessary)
(search-incident-to-arrest rule, is, unnecessary)
(533.4, at Camara is, 387 U. S.)
(he, poses, threat to public)
(he, poses, immediate threat to public)
(person, is, stopped)
(he, immediate threat to, public)
(person, once is stopped for, drunk driving)
(person, is, once stopped)
(person, once is stopped for, driving)
(it, is, critical)
(person, is stopped for, drunk driving)
(he, poses, immediate threat)
(he, threat to, public)
(person, is stopped for, driving)
(he, poses, threat)
(person, is in, already custody)
(person, is in, custody)
(person, is in, custody prior to administration of breath test)
(person, is in, already custody prior)
(person, is in, custody prior to administration)
(person, is in, custody prior)
(person, is in, already custody prior to administration)
(person, is in, already custody prior to administration of breath test)
(loss, destruction of, evidence)
(ample time, obtain, warrant)
(time, obtain, warrant)
(driver, is, immediately arrested)
(driver, is, arrested)
(breath tests, are conducted, roadside)
(reliability concerns, is with, roadside tests)
(their use, is in, most circumstances)
(testing, is conducted, roadside)
(reliability concerns, confine, their use in most circumstances)
(reliability concerns, establishing, probable cause)
(preliminary testing, is conducted, roadside)
(reliability concerns, confine, their use in circumstances)
(it, utilize, evidential breath tester)
(it, utilize, EBT)
(it, is, when impractical)
(it, utilize, breath tester)
(it, is, impractical)
(officers, can access, breath testing machinery)
(motorist, transported to, police station)
(motorist, is, arrested)
(breath test, is conducted, arrested)
(officers, can access, reliable breath testing machinery)
(breath test, is, conducted)
(A. Berning, Refusal of, Intoxication Testing)
(n. 5, No. at_time, Sept. 2008)
(only potential delay, is in, process)
(Officers, also observe subject, ensure)
(results, expose, test)
(officers, must give, motorist)
(officers, must give, window)
(Officers, observe, subject)
(results, expose test to, evidentiary challenge)
(his mouth .5, is In, many States including Minnesota)
(results, expose test to, challenge)
(Officers, observe subject, ensure)
(Officers, also observe, subject)
(police officer, set up, it)
(results, expose test to, evidentiary challenge at trial)
(results, expose test to, challenge at trial)
(North Dakota 's Intoxilyzer machine, can take as long to, warm-up)
(North Dakota 's Intoxilyzer machine, can take to, warm-up)
(North Dakota 's Intoxilyzer 8000 machine, can take to, warm-up)
(North Dakota 's Intoxilyzer machine, can take long to, warm-up)
(North Dakota, has, Intoxilyzer 8000 machine)
(North Dakota 's Intoxilyzer 8000 machine, can take as long to, warm-up)
(North Dakota 's Intoxilyzer 8000 machine, can take long to, warm-up)
(breath test, is conducted Because of, necessary steps)
(standard breath test, is conducted well Because of, necessary steps)
(standard breath test, is conducted, effectuated)
(standard breath test, is conducted well, effectuated)
(breath test, is conducted well Because of, steps)
(breath test, is, conducted)
(breath test, is conducted well Because of, necessary steps)
(breath test, is, conducted well)
(standard breath test, is conducted Because of, steps)
(breath test, is conducted Because of, steps)
(standard breath test, is conducted Because of, necessary steps)
(standard breath test, is conducted well Because of, steps)
(breath test, is conducted, effectuated)
(standard breath test, is, conducted well)
(arrest, is, effectuated)
(standard breath test, is, conducted)
(breath test, is conducted well, effectuated)
(breath tests, involve, time lag of 45 minutes)
(breath tests, involve, time lag of 45 minutes to two hours)
(breath tests, involve, time lag)
(breath tests, involve, time lag to two hours)
(N. W., 2d, 676 Minn.)
(429 N. W., 2d, 676 Minn.)
(motorist, administer, breath test)
(Minnesota, give, police)
(Minnesota, give, 2-hour period)
(motorist, was, pulled)
(Minnesota, give, period)
(police, can seek warrants During, built-in window)
(police, can seek warrants During, window)
(police, can seek, warrants)
(advances, is in, technol-ogy)
(___, at McNeely is, 569 U. S.)
(___, at Riley is, 573 U. S.)
(judges, are available during, times .9)
(judges, are, available)
(judges, are available during, even off-duty times .9)
(judges, are available during, off-duty times .9)
(counsel, explained at, argument)
(counsel, explained at, oral argument)
(counsel, Moreover explained at, oral argument)
(counsel, Moreover explained at, argument)
(judges, are available during, even times .9)
(officer, can secure, warrant)
(officer, can secure warrant, is transported)
(motorist, is, is transported)
(test, is, is prepared)
(___, at McNeely is, 569 U. S.)
(significant burden, requiring, police)
(police, obtain, warrants for breath tests)
(Fourth Amendment, of, warrant requirement)
(police, obtain, warrants)
(burden, requiring, police)
(North Dakota, has, magistrate judges)
(North Da-kota, has, roughly 7,000 arrests)
(North Da-kota, has annually, roughly 7,000 drunk-driving arrests)
(North Da-kota, has, roughly 7,000 drunk-driving arrests)
(courts, be swamped, required)
(police, obtain, warrants)
(courts, be, swamped)
(North Da-kota, has annually, roughly 7,000 arrests)
(police, were, required)
(conclusion, relies on, numbers)
(conclusion, relies on, inflated numbers)
(Minnesota, has, ratio of judges)
(Minnesota, same ratio of, judges)
(Minnesota, has, nearly ratio of judges)
(Minnesota, nearly same ratio of, judges)
(Minnesota, has, ratio of judges to drunk-driving arrests)
(Minnesota, has, nearly same ratio of judges to drunk-driving arrests)
(Minnesota, has, same ratio to arrests)
(Minnesota, has, nearly ratio of judges to arrests)
(Minnesota, has, nearly same ratio)
(Minnesota, nearly ratio to, arrests)
(Minnesota, has, same ratio to drunk-driving arrests)
(Minnesota, ratio of, judges)
(State, of, 82 judges)
(Minnesota, has, ratio of judges to arrests)
(Minnesota, has, nearly ratio)
(Minnesota, same ratio to, drunk-driving arrests)
(they, obtain, warrant for drunk-driving arrest)
(Minnesota, nearly ratio to, drunk-driving arrests)
(Minnesota, ratio to, arrests)
(Minnesota, nearly same ratio to, arrests)
(Minnesota, nearly same ratio to, drunk-driving arrests)
(Minnesota, has, nearly ratio of judges to drunk-driving arrests)
(Minnesota, has, same ratio)
(Minnesota, has, nearly same ratio to drunk-driving arrests)
(Minnesota, nearly ratio of, judges)
(Minnesota, has, ratio to drunk-driving arrests)
(Minnesota, same ratio to, arrests)
(Minnesota, has, nearly same ratio of judges)
(Minnesota, has, same ratio of judges to arrests)
(Minnesota, has, ratio)
(Minnesota, has, nearly ratio to drunk-driving arrests)
(Minnesota, has, nearly ratio to arrests)
(Minnesota, ratio to, drunk-driving arrests)
(Minnesota, has, same ratio of judges)
(Minnesota, has, same ratio of judges to drunk-driving arrests)
(Minnesota, has, nearly same ratio of judges to arrests)
(Minnesota, has, ratio to arrests)
(Minnesota, has, nearly same ratio to arrests)
(numbers, overstate burden by, degree)
(numbers, overstate burden by, significant degree)
(numbers, overstate, burden)
(warrants, voluntarily consent in, even States without criminal penalties)
(warrants, voluntarily consent in, States without criminal penalties)
(warrants, consent in, even States without criminal penalties)
(States, obtain, warrants)
(warrants, voluntarily consent in, even States without penalties)
(warrants, consent in, even States without penalties for refusal)
(warrants, consent in, States without penalties)
(warrants, consent in, even States)
(warrants, consent in, States without criminal penalties)
(warrants, voluntarily consent in, States without criminal penalties for refusal)
(warrants, voluntarily consent in, even States)
(warrants, voluntarily consent in, even States without penalties for refusal)
(warrants, voluntarily consent in, States)
(warrants, voluntarily consent in, States without penalties for refusal)
(warrants, consent in, even States without penalties)
(warrants, consent in, even States without criminal penalties for refusal)
(warrants, consent to, breath tests)
(warrants, voluntarily consent to, breath tests)
(warrants, consent in, States without criminal penalties for refusal)
(warrants, voluntarily consent in, even States without criminal penalties for refusal)
(warrants, consent in, States)
(warrants, consent in, States without penalties for refusal)
(warrants, voluntarily consent in, States without penalties)
(NHTSA, Rates in, United States-2011 Update 2)
(Breath Test Refusal Rates, is in, United States-2011 Update 2)
(average refusal rate, is, higher)
(refusal rate, is higher at, 24 %)
(average refusal rate, is, slightly higher)
(refusal rate, is, slightly higher)
(average refusal rate, is higher at, 24 %)
(average refusal rate, is slightly higher at, 24 %)
(refusal rate, is, higher)
(refusal rate, is slightly higher at, 24 %)
(North Dakota, has, refusal rates)
(State, of, judges)
(Court, categorical exception to, warrant requirement)
(Court, finds, categorical exception to warrant requirement)
(Court, finds, exception to warrant requirement)
(Court, finds, exception)
(Court, finds, categorical exception)
(Court, exception to, warrant requirement)
(mere convenience, investigating, drunk driving)
(mere convenience, investigating, driving)
(convenience, investigating, drunk driving)
(convenience, investigating, driving)
(Court, of, postarrest exceptions to warrant requirement)
(officer, has, safety)
(Court, has, justification for search incident arrest)
(763, at Chimel is, 395 U. S.)
(Court 's justification, is, administrative need)
(police, obtain DNA without, warrant)
(police, obtain fingerprints without, warrant)
(Court, has, justification for booking exception)
(Court 's justification, is, need)
(police, obtain, DNA)
(Court 's justification, is need for, identification)
(police, obtain, fingerprints)
(Court 's justification, is administrative need for, identification)
(owner 's property, guard police from, danger)
(Court, has, justification for inventory search exception)
(it, is in, custody of police)
(police, inventory, items in arrestee 's possession)
(police, inventory, items in arrestee 's personal possession)
(owner 's property, insure against, claims of property)
(owner 's property, insure against, claims of lost property)
(police, inventory, items)
(owner, has, property)
(items, is in, arrestee 's personal possession)
(owner 's property, insure against, claims)
(arrestee, in, personal possession)
(owner 's property, guard, police)
(it, is in, custody)
(warrant, could, where could obtained)
(warrant, could, could easily obtained)
(warrant, could, even where could obtained)
(warrant, could, even where could easily obtained)
(warrant, could, where could easily obtained)
(warrant, could, could obtained)
(exceptions, would become, rule)
(compliance, is with, lawfully obtained warrants)
(ample tools, force, compliance)
(tools, force, compliance)
(ample tools, force, compliance with warrants)
(tools, force, compliance with obtained warrants)
(tools, force, compliance with lawfully obtained warrants)
(ample tools, force, compliance with lawfully obtained warrants)
(ample tools, force, compliance with obtained warrants)
(tools, force, compliance with warrants)
(citizens, can, can subjected to serious penalties for obstruction of justice)
(citizens, can, can subjected to penalties)
(citizens, can, can subjected to serious penalties for obstruction)
(they, decline, cooperate with test)
(citizens, can, can subjected to penalties for obstruction of justice)
(citizens, can, can subjected to penalties for obstruction)
(they, cooperate with, test)
(citizens, can, can subjected to serious penalties)
(they, decline, cooperate)
(citizens, can, can subjected)
(end-to-end process, can, can significantly longer)
(process, can, can significantly longer)
(end-to-end process, can, can longer)
(process, can, can longer)
(searches, are invasive than, breath tests)
(person, reset, machine)
(person machine, administering, test)
(separate samples, two at, least)
(searches, are more invasive than, breath tests)
(person, change, mouthpiece)
(person, collect, at least two separate samples)
(person, reset machine between, each)
(person, collect, at least two samples)
(searches, are, invasive)
(searches, are, more invasive)
(person, conduct, additional testing indicated by disparities between two tests .13)
(searches, are certainly invasive than, breath tests)
(searches, are certainly more invasive than, breath tests)
(samples, two at, least)
(searches, are, certainly invasive)
(searches, are, certainly more invasive)
(person, calibrate, machine)
(step, evaluating, governmental interests at stake here)
(final step, is, determine)
(step, evaluating, interests at stake)
(step, is, determine)
(final step, evaluating, interests at stake)
(final step, evaluating, governmental interests)
(step, evaluating, interests at stake here)
(step, evaluating, interests)
(step, evaluating, governmental interests)
(final step, evaluating, governmental interests at stake here)
(step, evaluating, governmental interests at stake)
(final step, evaluating, interests)
(final step, evaluating, governmental interests at stake)
(final step, evaluating, interests at stake here)
(allowing, is, overgeneralization)
(allowing, is, considerable overgeneralization here)
(allowing, is, considerable overgeneralization)
(allowing, is, overgeneralization here)
(it, should, should clear)
(___, at McNeely is, 569 U. S.)
(Court, concluded in, Riley)
(___, at Riley is, 573 U. S.)
(Court, considering, comparative effectiveness)
(Court, reaches for, search-incident-to-arrest exception)
(Court, considering, effectiveness of exceptions)
(Court, even considering, comparative effectiveness of exceptions)
(Court, even considering, effectiveness)
(Court, considering, effectiveness)
(Court, considering, comparative effectiveness of case-by-case exceptions)
(Court, even considering, effectiveness of exceptions)
(Court, considering, effectiveness of case-by-case exceptions)
(Court, reaches for, exception)
(Court, reaches for, categorical exception)
(Court, even considering, effectiveness of case-by-case exceptions)
(Court, reaches for, categorical search-incident-to-arrest exception)
(Court, even considering, comparative effectiveness of case-by-case exceptions)
(Court, even considering, comparative effectiveness)
(Court, considering, comparative effectiveness of exceptions)
(postarrest search, be analyzed under, doctrine)
(postarrest search, be, analyzed)
(postarrest search, be analyzed under, search-incident-to-arrest doctrine)
(doctrine, applies to, breath)
(search-incident-to-arrest doctrine, applies to, arrests)
(search-incident-to-arrest doctrine, applies to, such arrests)
(doctrine, applies to, such arrests)
(search-incident-to-arrest doctrine, applies to, breath)
(doctrine, applies to, arrests)
(police officers, may want, we explained)
(police officers, may want, we explained earlier)
(searches, find, evidence arrestees)
(warrant, is, obtained)
(763, at Chimel is, 395 U. S.)
(forms, are, analyzed differently)
(forms, are, analyzed)
(Other forms, are, analyzed differently)
(Other forms, are, analyzed)
(person, is under, arrest)
(exception, best addresses, nature of postarrest search)
(exception, best addresses, nature)
(exception, addresses, nature of postarrest search)
(exception, addresses, nature)
(exception, nature of, postarrest search)
(framework, is, why suited to breath tests)
(search-incident-to-arrest framework, is, why suited)
(framework, is, best suited)
(search-incident-to-arrest framework, is, why best suited)
(search-incident-to-arrest framework, is, why best suited to breath tests)
(framework, is suited to, breath tests)
(search-incident-to-arrest framework, is suited to, breath tests)
(framework, is, suited)
(framework, is, why best suited to breath tests)
(search-incident-to-arrest framework, is best suited to, breath tests)
(search-incident-to-arrest framework, is, best suited)
(search-incident-to-arrest framework, is, why suited to breath tests)
(search-incident-to-arrest framework, is, suited)
(framework, is, why best suited)
(framework, is, why suited)
(framework, is best suited to, breath tests)
(exception, is, particularly ill)
(exception, is, ill)
(search-incident-to-arrest exception, is particularly ill To, contrary)
(search-incident-to-arrest exception, is, ill)
(exception, is particularly ill To, contrary)
(exception, is ill To, contrary)
(search-incident-to-arrest exception, is ill To, contrary)
(search-incident-to-arrest exception, is, particularly ill)
(exception, is concerned of, course)
(search-incident-to-arrest exception, is, of course concerned with evidence destruction)
(exception, is, of course concerned with evidence destruction insofar)
(search-incident-to-arrest exception, is concerned with, evidence destruction)
(search-incident-to-arrest exception, is, of course concerned with evidence destruction only insofar)
(exception, is concerned with, evidence destruction)
(exception, is concerned with, evidence destruction only insofar)
(search-incident-to-arrest exception, is concerned with, evidence destruction only insofar)
(search-incident-to-arrest exception, is, of course concerned with evidence destruction insofar)
(exception, is, of course concerned with evidence destruction only insofar)
(exception, is, concerned)
(exception, is, of course concerned with evidence destruction)
(exception, is concerned with, evidence destruction insofar)
(search-incident-to-arrest exception, is concerned of, course)
(search-incident-to-arrest exception, is concerned with, evidence destruction insofar)
(search-incident-to-arrest exception, is, concerned)
(arrest, is, effectuated)
(exception 's categorical reach, makes, it less suitable)
(exception 's reach, makes, it even less suitable)
(exception 's reach, makes, it less suitable here)
(exception 's categorical reach, makes, it even less suitable here)
(exception 's categorical reach, makes, it even less suitable)
(exception 's reach, makes, it even less suitable here)
(exception 's categorical reach, makes, it suitable)
(exception 's reach, makes, it suitable here)
(exception, has, categorical reach)
(exception 's categorical reach, makes, it suitable here)
(exception 's categorical reach, makes, it less suitable here)
(exception 's reach, makes, it suitable)
(exception 's reach, makes, it less suitable)
(search-incident-to-arrest exception, is, applied)
(exception, is, applied precisely)
(exception, is, applied categorically precisely)
(exception, is, applied)
(search-incident-to-arrest exception, is, applied categorically precisely)
(search-incident-to-arrest exception, is, applied precisely)
(236, at Robinson is, 414 U. S.)
(government, has, need conduct)
(Court, allowed, DNA searches)
(Court, dispensed with, warrant requirement)
(Court, dispensed In, Maryland)
(Court, allowed DNA searches following, arrest)
(Court, allowed following, arrest)
(booking exception, has, interest identifying)
(it, justify, search)
(Court, continues down, road)
(Fourth Amendment 's warrant requirement, become, nothing)
(Amendment 's warrant requirement, become, nothing)
(Fourth Amendment, has, warrant requirement)
(Fourth Amendment 's warrant requirement, become, nothing more than suggestion)
(nothing, more than, suggestion)
(Amendment 's warrant requirement, become, nothing more than suggestion)
(WILLIAM ROBERT BERNARD, PETITIONER v., MINNESOTA)
(GRANT LEVI, DEPARTMENT OF, TRANSPORTATION)
(STEVE MICHAEL BEYLUND, PETITIONER v., GRANT LEVI)
(DANNY BIRCHFIELD, PETITIONER v., NORTH DAKOTA)
(part, is in, part)
(Court, reaches at_time, today)
(compromise, is, good)
(arrested driver, of concentration is, BAC)
(tests, are, constitutional)
(Court, contorts, exception)
(Court, contorts, search-incident-to-arrest exception)
(Fourth Amendment, to, warrant requirement)
(warrantless tests, are, constitutional)
(Court, contorts, search-incident-to-arrest exception to Amendment 's warrant requirement)
(Court, contorts, exception to Fourth Amendment 's warrant requirement)
(Court, contorts, search-incident-to-arrest exception to Fourth Amendment 's warrant requirement)
(Court, contorts exception, deciding)
(Court, contorts, exception to Amendment 's warrant requirement)
(revealing, BAC of, driver)
(tests, are, constitutional)
(revealing, BAC of, driver suspected)
(tests, are, Here constitutional)
(tests, are constitutional under, exigent-circumstances exception to warrant requirement)
(tests, Here are constitutional under, exigent-circumstances exception)
(tests, are constitutional under, exigent-circumstances exception)
(tests, Here are constitutional under, exigent-circumstances exception to warrant requirement)
(Today, has, decision chips away at well-established exception to warrant requirement)
(police officer, has, determination)
(person, is, quick)
(step, is in, search)
(Court, by, past search-incident-to-arrest decisions)
(search, bore, resemblance to type contemplated by Court 's past decisions)
(search, bore, little resemblance to type of physical search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, resemblance to type of physical search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, little resemblance to type of brief physical search contemplated by Court 's past decisions)
(search, bore, little resemblance to type of search)
(search, bore, resemblance to type of brief search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, resemblance to type of search contemplated)
(search, bore, little resemblance to type of search contemplated by Court 's past decisions)
(search, bore, resemblance to type of brief search)
(search, bore, little resemblance to type of brief physical search)
(search, bore, little resemblance to type contemplated by Court 's past decisions)
(search, bore, resemblance to type of physical search contemplated by Court 's past decisions)
(search, bore, resemblance to type)
(search, bore, little resemblance to type of brief search contemplated by Court 's past decisions)
(search, bore, little resemblance to type of brief search)
(Court, begin, retreat)
(search, bore, resemblance to type of brief search contemplated)
(search, bore, resemblance to type of search)
(search, bore, resemblance to type of brief physical search contemplated)
(search, bore, resemblance)
(search, bore, little resemblance to type of physical search)
(little resemblance, search at, issue)
(search, bore, resemblance to type contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, little resemblance to type contemplated by Court 's past search-incident-to-arrest decisions)
(Court, begin, retreat from approach)
(search, bore, little resemblance to type of search contemplated)
(search, bore, resemblance to type of physical search contemplated)
(search, bore, little resemblance to type of brief search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, resemblance to type of brief physical search)
(Court, retreat from, approach)
(search, bore, little resemblance to type of physical search contemplated by Court 's past decisions)
(search, bore, resemblance to type of physical search)
(search, bore, resemblance to type of brief physical search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, resemblance to type contemplated)
(issue, at search is, search of information on cell phone)
(search, bore, resemblance to type of brief search contemplated by Court 's past decisions)
(Court, begin, retreat from categorical approach)
(search, bore, resemblance to type of search contemplated by Court 's past search-incident-to-arrest decisions)
(resemblance, search at, issue)
(search, bore, little resemblance)
(search, bore, little resemblance to type of brief physical search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, little resemblance to type)
(search, search of, information on cell phone)
(search, bore, resemblance to type of search contemplated by Court 's past decisions)
(Court, retreat from, categorical approach)
(search, bore, little resemblance to type contemplated)
(search, bore, little resemblance to type of search contemplated by Court 's past search-incident-to-arrest decisions)
(search, bore, little resemblance to type of brief search contemplated)
(search, bore, little resemblance to type of physical search contemplated)
(recent decision, is in, Riley)
(search, bore, little resemblance to type of brief physical search contemplated)
(search, bore, resemblance to type of brief physical search contemplated by Court 's past decisions)
(I, joined however, Riley)
(I, joined, Riley)
(Today, has, decision)
(constitutional searches, are incident, arrest)
(Court, apply, Robinson)
(searches, are incident, arrest)
(breath tests, are, less intrusive)
(we, conclude, less intrusive)
(breath tests, are less intrusive than, blood tests)
(we, conclude, significantly less intrusive than blood tests)
(blood test, be, administered)
(blood test, be, administered as search incident to arrest for drunk driving)
(breath tests, are intrusive than, blood tests)
(blood test, be, administered as search incident to arrest for driving)
(blood test, be, administered as search incident to arrest)
(breath tests, serve law enforcement interests in, cases)
(we, conclude, significantly less intrusive)
(blood test, be, administered as search incident to lawful arrest for driving)
(breath tests, are, intrusive)
(breath tests, serve law enforcement interests in, most cases)
(we, conclude, less intrusive than blood tests)
(breath tests, amply serve law enforcement interests in, cases)
(blood test, be, administered as search incident to lawful arrest)
(blood test, be, administered as search incident)
(breath tests, amply serve law enforcement interests in, most cases)
(we, conclude, intrusive)
(blood test, be, administered as search incident to lawful arrest for drunk driving)
(we, conclude, intrusive than blood tests)
(breath tests, are significantly less intrusive than, blood tests)
(breath tests, are, significantly less intrusive)
(hairsplitting, makes, sense)
(hairsplitting, makes, little sense)
(exception, permits, bodily searches)
(exception, permits, searches)
(search-incident-to-arrest exception, prevent, destruction of BAC evidence)
(search-incident-to-arrest exception, permits, bodily searches)
(exception, prevent, destruction)
(search-incident-to-arrest exception, permits, searches)
(search-incident-to-arrest exception, prevent, destruction)
(exception, prevent, destruction of BAC evidence)
(Court, balancing, invasiveness of type of search against government 's reasons for search)
(Court, balancing, invasiveness of particular type of search against government 's reasons for search)
(Court, justifies, its result)
(Court, balancing, invasiveness of particular type of search against government 's reasons)
(arbitrary line, is in, sand between blood)
(Court, balancing, invasiveness of type)
(Court, balancing, invasiveness of type of search against government 's reasons)
(Court, balancing, invasiveness of type of search)
(Court, balancing, invasiveness of particular type of search)
(government, against, reasons for search)
(Court, balancing, invasiveness)
(Court, balancing, invasiveness of particular type)
(Such balancing, is, bad)
(case-by-case balancing, is, bad)
(balancing, is, bad)
(Such case-by-case balancing, is, bad)
(United States, v. Luis is, ___ 2016)
(Today 's application, cause confusion in, courts)
(Today, has, application of search-incident-to-arrest exception)
(Today 's application, cause confusion in, lower courts)
(Today 's application, is, bound)
(Today 's application, cause, confusion)
(reins, is in, pernicious problem of drunk driving)
(Court, has, choice allow)
(compromise, has support under, Court 's existing precedents)
(compromise, has, support)
(Court, under, existing precedents)
(compromise, has support under, Court 's precedents)
(compromise, has, little support)
(I, proposed in, McNeely)
(blood tests, are, constitutional)
(blood tests, are constitutional Under, approach)
(police, search in, circumstances)
(search, is in, circumstances)
(police, conduct, search)
(police, conduct, search in circumstances)
(Court, is in, McNeely)
(Court, rejected, that)
(exigency, natural dissipation of, alcohol)
(exigency, dissipation in, blood)
(exigency, dissipation of, alcohol)
(exigency, natural dissipation in, blood)
(natural dissipation, is in, blood)
(destruction, was, different)
(evidence, is in, circumstances)
(destruction, was qualitatively different from, destruction of evidence)
(destruction, was different from, destruction)
(destruction, was different from, destruction of evidence)
(destruction, was, qualitatively different)
(destruction, was qualitatively different from, destruction)
(Today 's decision, rejects, McNeely 's arbitrary distinction between destruction of evidence)
(Today 's decision, rejects, McNeely 's arbitrary distinction between destruction)
(Today, has, decision)
(Today 's decision, rejects, McNeely 's distinction)
(Today 's decision, rejects, McNeely 's distinction between destruction)
(Today 's decision, rejects, McNeely 's arbitrary distinction)
(Today 's decision, destruction of, BAC evidence)
(Today 's decision, rejects, McNeely 's distinction between destruction of evidence)
(McNeely, has, arbitrary distinction between destruction of evidence)
(arrestee, between, active destruction of evidence)
(McNeely, has, arbitrary distinction)
(Court, reject, McNeely 's distinction)
(Court, reject, McNeely 's arbitrary distinction)
(McNeely, has, distinction)
(today 's compromise, is, perhaps consequence)
(Court, was wrong in, McNeely)
(today 's compromise, is inevitable consequence of, error)
(today 's compromise, is, perhaps inevitable consequence)
(today 's compromise, is perhaps consequence of, error)
(today 's compromise, is perhaps inevitable consequence of, error)
(compromise, is, inevitable)
(today 's compromise, is, consequence)
(today 's compromise, is consequence of, error)
(today 's compromise, is, inevitable consequence)
(today, has, compromise)
(Court, was, wrong)
(state laws, is in, cases)
(I, concur in, part)
(I, concur in, part)
(I, respectfully concur in, judgment)
(I, respectfully concur in, part)
(I, respectfully concur in, part)
(I, concur in, judgment)
(No. 14-1470, Bernard v., Minnesota)
(Beylund, Department of, Transportation)
(certiorari, on Beylund is, North Dakota Department of Transportation)
(certiorari, on No. is, Bernard v. Minnesota)
(test subject, has, cooperation)
(subject, has, urine)
(BAC, may, In addition may determined)
(BAC, may, may determined)
(us, involves, one)
(urine tests, appear, less common in cases)
(urine tests, appear, less common in cases than breath)
(urine tests, appear, common in drunk-driving cases)
(urine tests, appear, common in cases than breath)
(urine tests, none of, cases)
(urine tests, appear, common in cases)
(urine tests, appear, less common in drunk-driving cases than breath)
(urine tests, appear, less common)
(urine tests, appear, common in drunk-driving cases than breath)
(urine tests, appear, common)
(urine tests, appear, less common in drunk-driving cases)
(Two Families, Push Bismarck Tribune for, Stronger DUI Laws)
(Families, Push, Bismarck Tribune)
(Two Families, Push, Bismarck Tribune)
(Families, Push Bismarck Tribune for, Stronger DUI Laws)
(Haga, Kind of, Peace)
(Two Families, Push Bismarck Tribune in, N. D.)
(Tougher DUI Penalties, is in, D.)
(Families, Push Bismarck Tribune in, N. D.)
(arrestee 's mouth, be, searched in appropriate circumstances at time)
(arrestee 's mouth, be, searched in circumstances at time of founding)
(arrestee 's mouth, be searched in, circumstances)
(arrestee, has, mouth)
(arrestee 's mouth, be searched at, time)
(arrestee 's mouth, be, searched in circumstances at time)
(arrestee 's mouth, be searched at, time of founding)
(arrestee 's mouth, be, searched in appropriate circumstances at time of founding)
(arrestee 's mouth, be, searched)
(arrestee 's mouth, be searched in, appropriate circumstances)
(authority, issue statewide, warrants)
(authority, issue, warrants)
(law enforcement interest, ll of, Court 's postarrest exceptions)
