(October 11 2016, Decided at_time, March 6 2017)
(work, approved by, experienced appellate serving on Judicial Conference)
(work, approved by, experienced appellate)
(work, was, considered)
(appellate, serving on, Judicial Conference)
(work, approved by, appellate)
(work, approved by, appellate serving)
(matter, went After, that)
(125, at Tanner is, 483 U. S.)
(effect, is, entitled)
(judgment, is in, process)
(effect, is entitled to, respect)
(Iowa rule, had on, jury system)
(effect, is entitled to, great respect)
(competing Iowa rule, had on, jury system)
(Colorado, adopted, similar rule)
(Colorado, adopted, very similar rule)
(Colorado, made, judgment)
(Colorado, adopted, rule)
(Colorado, considered, same question)
(participants, is in, federal process)
(Colorado, made judgment as, participants in federal process)
(Colorado, made judgment as, participants in process)
(Colorado, considered, question)
(Colorado, made, same judgment)
(Colorado, made judgment as, participants)
(it, joined majority, doing)
(it, joined majority, doing so)
(it, joined, majority of States)
(it, joined, overwhelming majority of States)
(it, joined, overwhelming majority)
(it, joined, majority)
(rules, be, viewed)
(strong rules, continue In, great majority of jurisdictions)
(strong rules, continue In, great majority)
(strong no-impeachment rules, continue In, great majority of jurisdictions)
(rules, continue In, great majority of jurisdictions)
(strong rules, continue In, majority of jurisdictions)
(finality, insulating, jury)
(strong no-impeachment rules, be, viewed)
(finality, insulating jury from, influences)
(no-impeachment rules, continue In, great majority)
(rules, continue In, majority of jurisdictions)
(no-impeachment rules, continue In, majority)
(strong rules, continue, viewed)
(rules, continue In, great majority)
(strong no-impeachment rules, continue In, great majority)
(rules, continue In, majority)
(no-impeachment rules, continue In, majority of jurisdictions)
(no-impeachment rules, continue In, great majority of jurisdictions)
(no-impeachment rules, be, viewed)
(no-impeachment rules, continue, viewed)
(strong no-impeachment rules, continue, viewed)
(rules, continue, viewed)
(finality, insulating jury from, outside influences)
(strong no-impeachment rules, continue In, majority)
(strong rules, continue In, majority)
(strong rules, be, viewed)
(strong no-impeachment rules, continue In, majority of jurisdictions)
(___, at Warger is, 574 U. S.)
(Court, Recognizing, importance)
(efforts, create, Sixth Amendment exception)
(Tanner, is in, Warger)
(Court, Recognizing, importance of Rule 606)
(Tanner petitioners, were, convicted)
(Tanner petitioners, committing, mail fraud)
(jurors, came with, disturbing stories)
(jurors, came After, trial)
(two jurors, came forward with, disturbing stories of juror misconduct)
(two jurors, came forward with, stories)
(two jurors, came with, disturbing stories)
(jurors, came forward with, disturbing stories)
(jurors, came forward with, disturbing stories of juror misconduct)
(two jurors, came with, disturbing stories of juror misconduct)
(jurors, came with, stories of juror misconduct)
(two jurors, came with, stories)
(two jurors, came forward with, disturbing stories)
(jurors, came with, stories)
(two jurors, came with, stories of juror misconduct)
(jurors, came forward with, stories of juror misconduct)
(jurors, came forward with, stories)
(two jurors, came forward with, stories of juror misconduct)
(jurors, came forward After, trial)
(jurors, came with, disturbing stories of juror misconduct)
(two jurors, came After, trial)
(two jurors, came forward After, trial)
(One, causing, them)
(them, sleep through, afternoons)
(jurors, ingested, cocaine)
(jurors, smoked, marijuana)
(jurors, ingested cocaine during, trial)
(jurors, also smoked, marijuana)
(evidence, be, properly excluded)
(evidence, properly be excluded under, Rule 606)
(evidence, be excluded under, b)
(evidence, properly be excluded under, b)
(evidence, be, excluded)
(evidence, be excluded under, Rule 606)
(s policy considerations, support, common-law rule)
(s policy considerations, impeach, verdict)
(s policy considerations, support, common-law rule against admission)
(s ubstantial policy considerations, support, common-law rule against admission)
(s ubstantial policy considerations, support, common-law rule)
(s ubstantial policy considerations, impeach, verdict)
(s ubstantial policy considerations, support, common-law rule against admission of jury testimony)
(s policy considerations, support, common-law rule against admission of jury testimony)
(such efforts, perfect, it)
(efforts, perfect, it)
(Allowing, would disrupt, finality of process)
(Allowing, would disrupt, finality)
(finality, Allowing, such inquiries)
(finality, Allowing, such post-verdict inquiries)
(Allowing, would seriously disrupt, finality of process)
(finality, Allowing, post-verdict inquiries)
(Allowing, would seriously disrupt, finality)
(finality, Allowing, inquiries)
(It, would also undermine, full discussion)
(It, would also undermine, discussion in jury room)
(It, would undermine, discussion)
(It, would undermine, full discussion in jury room)
(It, would undermine, full discussion)
(It, would also undermine, full discussion in jury room)
(It, would undermine, community 's trust)
(discussion, is in, jury room)
(It, would also undermine, discussion)
(It, would also undermine, community 's trust)
(It, would undermine, discussion in jury room)
(community, has, trust in system)
(community 's trust, is in, system)
(Tanner petitioners, had, Sixth Amendment right to tribunal impartial)
(Tanner petitioners, had, Sixth Amendment right)
(Tanner petitioners, had Sixth Amendment right of, course)
(Tanner petitioners, had, Sixth Amendment right to tribunal)
(concerns, support, protection of jury deliberations)
(concerns, protection from, intrusive inquiry)
(long-recognized concerns, support, protection from inquiry)
(long-recognized concerns, protection from, inquiry)
(long-recognized concerns, support, protection of jury deliberations from inquiry)
(concerns, support, protection from inquiry)
(concerns, protection of, jury deliberations)
(long-recognized concerns, support, protection of jury deliberations)
(concerns, support, protection)
(long-recognized concerns, support, protection of jury deliberations from intrusive inquiry)
(concerns, support, protection from intrusive inquiry)
(concerns, support, protection of jury deliberations from inquiry)
(long-recognized concerns, protection of, jury deliberations)
(long-recognized concerns, support, protection)
(long-recognized concerns, protection from, intrusive inquiry)
(long-recognized concerns, support, protection from intrusive inquiry)
(concerns, support, protection of jury deliberations from intrusive inquiry)
(concerns, protection from, inquiry)
(Court, Turning to, question)
(p etitioners ' Sixth Amendment interests, protected by, several aspects)
(p etitioners ' Sixth Amendment interests, protected By, contrast)
(p etitioners ' Sixth Amendment interests, protected by, several aspects of trial process)
(p etitioners ' Sixth Amendment interests, protected by, aspects)
(p etitioners ' Sixth Amendment interests, is in, unimpaired jury)
(p etitioners ' Sixth Amendment interests, protected by, aspects of trial process)
(jurors, can, First can examined during voir dire)
(jurors, can, can examined)
(jurors, can, First can examined)
(jurors, can, can examined during voir dire)
(jury, Second is observable by, court)
(jury, is, observable by court by counsel)
(jury, is, during trial observable by counsel)
(jury, is observable during, trial)
(jury, Second is observable by, counsel)
(jury, is, Second during trial observable by counsel)
(jury, is observable by, court)
(jury, is, Second during trial observable by court)
(jury, is observable by, counsel)
(jury, is, during trial observable by court)
(jury, is, during trial observable by court by counsel)
(jury, is, Second during trial observable by court by counsel)
(jury, is, Second observable by court by counsel)
(jury, is, Second observable)
(jury, is, observable)
(jury, Second is observable during, trial)
(jurors, report, juror behavior)
(jurors, report juror behavior to, court)
(jurors, report, inappropriate juror behavior)
(they, render, verdict)
(jurors, are, observable)
(jurors, are, Third observable)
(party, impeach, verdict)
(party, fourth may seek after, trial)
(party, impeach verdict by, evidence of misconduct)
(party, impeach verdict by, nonjuror evidence of misconduct)
(party, impeach verdict by, evidence)
(party, impeach verdict by, nonjuror evidence)
(party, may seek after, trial)
(Warger, involved, negligence suit)
(Warger, involved, negligence suit arising from motorcycle crash)
(Warger, involved, negligence suit arising)
(jury, has, foreperson)
(jury, returned verdict in, favor)
(jury, returned, verdict)
(jury, returned in, favor)
(foreperson, of, responses)
(foreperson, revealed According to, juror)
(her daughter, caused, deadly car crash)
(foreperson, revealed during, deliberations)
(her daughter, once caused, deadly car crash)
(her daughter, caused, car crash)
(foreperson, expressed, belief)
(lawsuit, ruined, her daughter 's life)
(her daughter, once caused, car crash)
(daughter, has, life)
(jury, has, verdict)
(plaintiff, has, primary contention)
(rule, threaten, his right to trial)
(our decision, is in, Tanner)
(plaintiff, maintained, otherwise interpreted)
(claim, is foreclosed by, our decision)
(claim, is, foreclosed)
(rule, threaten, his right)
(plaintiff, maintained, interpreted)
(claim, is foreclosed by, our decision in Tanner)
(juror impartiality, is, assured)
(juror impartiality, is, adequately assured)
(Court, reports by, jurors)
(jurors, lie in, voir dire)
(Court, pre-verdict reports by, jurors)
(Court, explained, ven)
(Court, explained, jurors lie)
(Court, explained, jurors lie in voir dire)
(Warger, fit neatly into, Court 's jurisprudence)
(Tanner, fit into, Court 's broader jurisprudence)
(Tanner, fit into, Court 's jurisprudence)
(Tanner, fit neatly into, Court 's jurisprudence)
(concerning, constitutionality of, evidence rules)
(Warger, fit into, Court 's broader jurisprudence)
(Tanner, fit neatly into, Court 's broader jurisprudence)
(Court, into, broader jurisprudence concerning)
(Warger, fit neatly into, Court 's broader jurisprudence)
(Warger, fit into, Court 's jurisprudence)
(state rulemakers, have, latitude)
(state rulemakers, establish, rules excluding evidence)
(state rulemakers, establish, rules excluding evidence from trials)
(state rulemakers, establish, rules)
(state rulemakers, have latitude under, Constitution)
(state rulemakers, establish, rules excluding evidence from criminal trials)
(state rulemakers, have, broad latitude)
(state rulemakers, have latitude, Court has explained)
(they, are asserted, promote)
(they, are, asserted)
(evidence rules, been, Thus have invalidated)
(evidence rules, been, have invalidated)
(Court, creates, exception)
(Court, creates, constitutional exception to rules)
(Court, creates exception at_time, Today)
(Court, creates, exception to no-impeachment rules)
(Court, creates, exception to rules)
(Court, creates exception for, time)
(Court, creates, constitutional exception to no-impeachment rules)
(Court, creates exception for, first time)
(Court, creates, constitutional exception)
(rules, violate, Sixth Amendment)
(no-impeachment rules, violate, Sixth Amendment)
(they, preclude, courts)
(they, considering, evidence of juror 's biased comments)
(rules, violate Sixth Amendment to, extent)
(juror, of, racially biased comments)
(no-impeachment rules, violate Sixth Amendment to, extent)
(they, considering, evidence of juror 's comments)
(they, considering, evidence)
(they, considering, evidence of juror 's racially biased comments)
(Court, distinguish, Warger)
(Court, distinguish, Tanner)
(Tanner, rested on, two propositions)
(Warger, rested on, two propositions)
(Tanner, rested on, two basic propositions)
(Warger, rested on, two basic propositions)
(rules, First advance, interests)
(no-impeachment rules, advance, interests)
(rules, First advance, crucial interests)
(no-impeachment rules, First advance, crucial interests)
(no-impeachment rules, First advance, interests)
(rules, advance, interests)
(no-impeachment rules, advance, crucial interests)
(rules, advance, crucial interests)
(right, is adequately protected by, mechanisms other)
(right, Second is protected by, mechanisms other than use of juror testimony)
(right, Second is adequately protected by, mechanisms other)
(right, is protected by, mechanisms other than use of juror testimony)
(right, is adequately protected by, mechanisms other than use regarding jury deliberations)
(right, is protected by, mechanisms other than use)
(right, Second is protected by, mechanisms)
(right, Second is adequately protected by, mechanisms)
(right, is adequately protected by, mechanisms other than use of juror testimony)
(right, is, Second adequately protected)
(right, is protected by, mechanisms)
(right, Second is adequately protected by, mechanisms other than use of juror testimony regarding jury deliberations)
(right, is protected by, mechanisms other)
(right, Second is adequately protected by, mechanisms other than use of juror testimony)
(right, Second is protected by, mechanisms other than use regarding jury deliberations)
(right, is protected by, mechanisms other than use of juror testimony regarding jury deliberations)
(right, Second is protected by, mechanisms other)
(right, is adequately protected by, mechanisms other than use of juror testimony regarding jury deliberations)
(right, is, protected)
(right, is adequately protected by, mechanisms other than use)
(right, Second is protected by, mechanisms other than use of juror testimony regarding jury deliberations)
(right, is, Second protected)
(right, is protected by, mechanisms other than use regarding jury deliberations)
(right, Second is protected by, mechanisms other than use)
(right, is adequately protected by, mechanisms)
(right, Second is adequately protected by, mechanisms other than use regarding jury deliberations)
(right, Second is adequately protected by, mechanisms other than use)
(right, is, adequately protected)
(cases, involving, racially biased jurors)
(defendant 's Sixth Amendment interests, are, profound)
(cases, involving, biased jurors)
(Tanner safeguards, are, effective)
(defendant 's Sixth Amendment interests, are, more profound)
(Tanner safeguards, are, less effective)
(Tanner safeguards, are effective in, cases)
(Tanner safeguards, are less effective in, cases)
(defendant, has, Sixth Amendment interests)
(cases, involving, jurors)
(Tanner, identified, pre-verdict reports by jurors)
(Tanner, identified reports, noted above)
(Tanner, identified, reports by jurors)
(Tanner, identified, pre-verdict reports)
(Tanner, identified, four aspects)
(Tanner, identified reports, noted)
(defendant, has, Sixth Amendment rights)
(Tanner, identified, reports)
(effectiveness, is questionable in, cases)
(pointed, exacerbate, prejudice)
(pointed, may highlight, issues)
(pointed, may highlight, racial issues)
(effectiveness, is, questionable)
(pointed, thereby exacerbate, prejudice)
(juror, be, reluctant to voice in of jurors .7)
(Lawyers, elicit, answers)
(individual questioning, questionnaires of, prospective jurors6)
(Lawyers, use, questionnaires of prospective jurors6)
(Lawyers, questionnaires of, prospective jurors6)
(practice guides, conducting, effective voir dire)
(individual questioning, questionnaires of, jurors6)
(juror, be, reluctant to voice in of jurors .7 Moreover)
(juror, be reluctant in, in jurors .7)
(juror, be reluctant in, in other prospective jurors .7 Moreover)
(questioning, questionnaires of, jurors6)
(juror, be, reluctant to voice in of other jurors .7 Moreover)
(juror, be reluctant in, in prospective jurors .7)
(juror, be, reluctant to voice in of other prospective jurors .7 Moreover)
(juror, be reluctant in, in prospective jurors .7 Moreover)
(juror, be reluctant in, in jurors .7 Moreover)
(juror, be, reluctant to voice in of other prospective jurors .7)
(Lawyers, use, questionnaires)
(Lawyers, elicit, frank answers)
(juror, be, reluctant to voice in of prospective jurors .7 Moreover)
(practice guides, are, replete)
(juror, be reluctant in, in other prospective jurors .7)
(juror, be reluctant to, voice)
(questioning, questionnaires of, prospective jurors6)
(Lawyers, use, questionnaires of jurors6)
(juror, be, reluctant)
(practice guides, conducting, voir dire)
(Lawyers, questionnaires of, jurors6)
(juror, be reluctant in, in other jurors .7)
(juror, be reluctant in, in other jurors .7 Moreover)
(juror, be, reluctant to voice in of prospective jurors .7)
(juror, be, reluctant to voice in of other jurors .7)
(bias, be used, .9)
(attorney, is, concerned)
(bias, be, used)
(voir dire, mandated as, matter)
(voir dire, mandated as, matter of federal authority in others)
(voir dire, unearthing, bias runs)
(voir dire, is, required)
(voir dire, is constitutionally required in, cases)
(voir dire, mandated as, matter of supervisory authority)
(voir dire, is, ineffective)
(voir dire, is required in, cases)
(voir dire, mandated as, matter of federal supervisory authority in others)
(suggestion, counter to, decisions of Court holding)
(voir dire, mandated as, matter of supervisory authority in others)
(defendant, requests, it)
(voir dire, mandated as, matter of federal supervisory authority)
(suggestion, counter to, decisions)
(federal supervisory authority, is in, others)
(voir dire, is, constitutionally required)
(voir dire, mandated as, matter of authority)
(voir dire, mandated as, matter of federal authority)
(voir dire, mandated as, matter of authority in others)
(voir dire, identifying, racial prejudice)
(36, at Turner is, supra)
(majority, recognizes, advantages of voir dire)
(racial bias, is in, jury deliberations)
(majority, recognizes, advantages)
(majority, recognizes, advantages of careful voir dire)
(majority, recognizes advantages as, proces s designed)
(majority, recognizes advantages as, proces s)
(voir dire, be, effective)
(voir dire, be effective in, regard)
(it, is, valuable)
(effectiveness, is, debatable proposition)
(point, is In, event)
(critical point, is In, event)
(effectiveness, is, debatable empirical proposition)
(Its assessment, should, should addressed)
(they, can make changes in, response to insights)
(they, can make changes in, response to insights provided by experience)
(they, can make, changes)
(they, can make changes in, response to insights provided)
(they, can make changes in, response)
(today, by, majority)
(approach, prevents, experimentation)
(approach, makes, change hard)
(approach, makes, change exceedingly hard)
(it, call, bigot)
(it, is, difficult)
(we, are, told)
(jurors, report, biased comments)
(jurors, report prior, biased comments)
(Court 's decision, mandates, admission about statement)
(jurors, report, comments)
(Court 's decision, admission of, testimony)
(jurors, report prior, biased comments by fellow jurors)
(Court 's decision, admission of, testimony of one juror)
(jurors, report, biased comments by jurors)
(Court 's decision, mandates, admission of testimony of one juror about statement)
(jurors, report prior, comments by jurors)
(Court, has, decision)
(jurors, report prior, comments by fellow jurors)
(Court 's decision, mandates, admission of testimony of one juror about statement made during deliberations)
(jurors, report, comments by fellow jurors)
(Court 's decision, admission about, statement made during deliberations)
(jurors, is, willing)
(jurors, report, biased comments by fellow jurors)
(Court 's decision, mandates, admission about statement made)
(Court 's decision, mandates, admission of testimony of one juror)
(Court 's decision, admission about, statement made)
(Court 's decision, mandates, admission about statement made during deliberations)
(Court 's decision, mandates, admission of testimony)
(Court 's decision, mandates, admission of testimony about statement made during deliberations)
(jurors, report, comments by jurors)
(Court 's decision, mandates, admission of testimony about statement made)
(jurors, is, less willing)
(jurors, report prior, comments)
(Court 's decision, admission about, statement)
(jurors, report prior, biased comments by jurors)
(Court 's decision, mandates, admission of testimony of one juror about statement made)
(Court 's decision, mandates, admission)
(Court 's decision, mandates, admission of testimony about statement)
(Court, making, argument)
(Court, has, seat-of-the-pants judgment)
(United States, see, Brief for Respondent 31-32 n. 10)
(United States, see, Brief)
(United States, see, Brief for Respondent 31-32)
(difference, is, significant enough)
(difference, merit, treatment)
(difference, is, significant)
(it, is, debatable)
(difference, merit, different treatment)
(Court, makes between, pre)
(it, is debatable, Even is something)
(it, is debatable, is something)
(reporting, is, disruptive)
(reporting, is, so more disruptive)
(post-verdict reporting, is, especially so disruptive)
(reporting, is, more disruptive)
(post-verdict reporting, is, so more disruptive)
(post-verdict reporting, is, more disruptive)
(reporting, is, especially so more disruptive)
(reporting, is, so disruptive)
(post-verdict reporting, is, so disruptive)
(post-verdict reporting, is, disruptive)
(reporting, is, especially so disruptive)
(post-verdict reporting, is, especially so more disruptive)
(verdict, is, announced)
(juror, may regret his vote In, addition)
(verdict, is unpopular with, particular juror 's family)
(juror, may regret his vote, unpopular with juror 's family)
(juror, may regret, his vote)
(verdict, is, unpopular)
(juror, may regret his vote, unpopular with particular juror 's family)
(verdict, is unpopular with, juror 's family)
(juror, feel, pressured)
(juror, may regret his vote, unpopular)
(majority, uses, language)
(pragmatic argument, is, something)
(majority, uses, hedged language)
(majority, Indeed uses, language)
(argument, is something of, makeweight)
(argument, is, something)
(pragmatic argument, is something of, makeweight)
(majority, appears, recognize)
(majority, Indeed uses, hedged language)
(operation, be, compromised)
(they, may prove, insufficient)
(Court 's holding, are, based)
(Constitution, is tolerant than, forms of juror misconduct)
(Constitution, is, tolerant of racial bias than forms of juror misconduct)
(Court, has, holding)
(Constitution, is, tolerant of bias than forms)
(Constitution, is tolerant than, other forms)
(Constitution, is, tolerant of bias than other forms of juror misconduct)
(Constitution, is, tolerant of racial bias than forms)
(Constitution, is, less tolerant of bias than forms of juror misconduct)
(Constitution, is, tolerant of racial bias than other forms of juror misconduct)
(Constitution, is, tolerant)
(Constitution, is less tolerant of, bias)
(Constitution, is, less tolerant of racial bias than other forms)
(Constitution, is, less tolerant of racial bias than other forms of juror misconduct)
(Constitution, is tolerant than, forms)
(Constitution, is, less tolerant of racial bias than forms of juror misconduct)
(Constitution, is, less tolerant of bias than forms)
(Constitution, is, less tolerant of bias than other forms)
(Constitution, is, tolerant of bias than other forms)
(Constitution, is tolerant of, racial bias)
(Constitution, is less tolerant than, other forms)
(it, square argument with, nature)
(Constitution, is, tolerant of bias than forms of juror misconduct)
(Constitution, is less tolerant than, other forms of juror misconduct)
(Constitution, is tolerant of, bias)
(Constitution, is less tolerant of, racial bias)
(petitioner, has, argument)
(Constitution, is, less tolerant)
(Constitution, is tolerant than, other forms of juror misconduct)
(Constitution, is less tolerant than, forms)
(Constitution, is, less tolerant of bias than other forms of juror misconduct)
(it, square, argument)
(Constitution, is less tolerant than, forms of juror misconduct)
(it, is, hard)
(Constitution, is, less tolerant of racial bias than forms)
(Constitution, is, tolerant of racial bias than other forms)
(text, is in, inherent nature of jury trial right)
(extent, depends on, nature)
(Nothing, is in, text of Amendment)
(jury, of, partiality)
(extent, depends on, nature of jury 's partiality)
(Colorado Supreme Court, put, it)
(party 's Sixth Amendment right, form of, partiality)
(Colorado Supreme Court, aptly put, it)
(it, is, hard)
(party, has, Sixth Amendment right)
(Court, points to, line)
(trial courts, conduct, voir dire)
(Constitution, requires, trial courts)
(Court, points to, line of cases holding)
(Constitution, requires trial courts in, narrow circumstances)
(Court, points to, line of cases)
(Constitution, requires trial courts in, circumstances)
(majority, has, argument)
(It, is, true)
(racial bias, implicates, historical concerns)
(bias, implicates, unique concerns)
(racial bias, implicates, unique concerns)
(bias, implicates, unique historical concerns)
(bias, implicates, concerns)
(bias, implicates, historical concerns)
(It, is, undoubtedly true)
(racial bias, implicates, concerns)
(racial bias, implicates, unique historical concerns)
(individual criminal defendant, of, Sixth Amendment right judged impartially)
(it, is, hard)
(Court, has, efforts reconcile)
(its decision, is with, McDonald)
(misconduct, was anomalous, troubling)
(misconduct, was, anomalous)
(misconduct, is in, cases)
(bias, is, familiar)
(Both, were convicted for, homicides)
(Both, were convicted for, homicides committed in unrelated barroom fights)
(Both, were convicted for, homicides committed)
(Both, were convicted for, homicides committed in barroom fights)
(Both, were, convicted)
(juror, expressed animosity At, trial of prisoner)
(juror, expressed animosity At, trial of first prisoner)
(juror, animosity toward, defendant)
(juror, expressed, animosity toward defendant)
(juror, expressed, animosity)
(juror, expressed animosity At, trial)
(juror, expressed animosity during, deliberations)
(juror, expressed animosity because of, his race)
(he, jersey of, football team)
(juror, expressed animosity At, trial of prisoner)
(he, was wearing, jersey of football team)
(he, was wearing, jersey)
(juror, expressed animosity At, trial of second prisoner)
(he, was wearing, jersey of hated football team)
(juror, expressed, animosity toward defendant)
(juror, expressed, animosity)
(juror, expressed animosity At, trial)
(juror, expressed animosity during, deliberations)
(he, jersey of, hated football team)
(jurors, come forward In, cases)
(jurors, come In, cases)
(juror, said in, jury room)
(biased juror, said in, jury room)
(Court, would say to, prisoner)
(Court, would say to, first prisoner)
(Court, would say To, second)
(treatment, is unsupportable under, Sixth Amendment)
(treatment, is, unsupportable)
(disparate treatment, is unsupportable under, Sixth Amendment)
(disparate treatment, is, unsupportable)
(Sixth Amendment, requires, admission about statements)
(showing, type of, partiality)
(Sixth Amendment, requires, admission of juror testimony about statements)
(Sixth Amendment, requires, admission)
(Sixth Amendment, admission about, statements)
(Sixth Amendment, admission of, juror testimony)
(Sixth Amendment, requires, admission of juror testimony)
(cases, would merit, treatment)
(cases, would merit, equal treatment)
(cases, would merit treatment At, minimum)
(Equal Protection Clause, convicting, defendant)
(Equal Protection Clause, convicting defendant on, basis of irrational classification)
(Peña-Rodriguez, to, race)
(biased juror, is in, case)
(judges, discern, dividing line)
(today, under, decision)
(judges, discern, line)
(it, will, will difficult)
(it, is, expanded)
(no-impeachment rules, were, designed)
(rules, were, designed)
(Today, has, decision especially expanded in ways)
(it, is, especially expanded)
(no-impeachment rules, were designed, prevent)
(rules, were designed, prevent)
(postverdict scrutiny, will inhibit discussion, Court explained)
(postverdict scrutiny, First will inhibit, discussion)
(postverdict scrutiny, will inhibit, full discussion in jury room)
(full discussion, is in, jury room)
(scrutiny, will inhibit, full discussion)
(scrutiny, will inhibit, discussion)
(postverdict scrutiny, will inhibit discussion, Court explained in Tanner)
(postverdict scrutiny, First will inhibit, discussion in jury room)
(scrutiny, First will inhibit, discussion)
(scrutiny, will inhibit, discussion in jury room)
(scrutiny, First will inhibit discussion, Court explained in Tanner)
(postverdict scrutiny, First will inhibit discussion, Court explained)
(postverdict scrutiny, First will inhibit, full discussion in jury room)
(postverdict scrutiny, will inhibit, discussion)
(scrutiny, First will inhibit, full discussion)
(scrutiny, First will inhibit, discussion in jury room)
(scrutiny, will inhibit, full discussion in jury room)
(postverdict scrutiny, will inhibit, full discussion)
(scrutiny, First will inhibit, full discussion in jury room)
(postverdict scrutiny, First will inhibit discussion, Court explained in Tanner)
(scrutiny, will inhibit discussion, Court explained in Tanner)
(scrutiny, will inhibit discussion, Court explained)
(postverdict scrutiny, will inhibit, discussion in jury room)
(Court, explained in, Tanner)
(scrutiny, First will inhibit discussion, Court explained)
(postverdict scrutiny, First will inhibit, full discussion)
(warning, subject of, public investigation)
(jurors, engage in, full debate necessary)
(privacy, be preserved, jurors engage)
(privacy, be preserved, jurors engage in full debate)
(privacy, be preserved, jurors engage in debate necessary to attainment of verdicts)
(jurors, engage in, debate)
(jurors, engage in, debate necessary to attainment of verdicts)
(privacy, be preserved, jurors engage in full debate necessary to attainment of verdicts)
(absolute privacy, be preserved, jurors engage in debate)
(absolute privacy, be preserved, jurors engage in debate necessary to attainment)
(absolute privacy, be preserved, jurors engage in full debate necessary to attainment of verdicts)
(absolute privacy, be preserved, jurors engage)
(absolute privacy, be, preserved)
(absolute privacy, be preserved, jurors engage in debate necessary)
(privacy, be preserved, jurors engage in debate necessary)
(jurors, engage in, full debate necessary to attainment)
(privacy, be preserved, jurors engage in debate necessary to attainment)
(privacy, be, preserved)
(absolute privacy, be preserved, jurors engage in debate necessary to attainment of verdicts)
(jurors, engage in, full debate)
(privacy, be preserved, jurors engage in full debate necessary to attainment of just verdicts)
(jurors, engage in, debate necessary to attainment)
(absolute privacy, be preserved, jurors engage in full debate necessary to attainment)
(jurors, engage in, debate necessary to attainment of just verdicts)
(absolute privacy, be preserved, jurors engage in full debate necessary to attainment of just verdicts)
(absolute privacy, be preserved, jurors engage in full debate necessary)
(privacy, be preserved, jurors engage in debate)
(absolute privacy, be preserved, jurors engage in full debate)
(privacy, be preserved, jurors engage in full debate necessary to attainment)
(jurors, engage in, debate necessary)
(privacy, be preserved, jurors engage in full debate necessary)
(jurors, engage in, full debate necessary to attainment of verdicts)
(jurors, engage in, full debate necessary to attainment of just verdicts)
(Senate Report, put, it)
(privacy, be preserved, jurors engage in debate necessary to attainment of just verdicts)
(absolute privacy, be preserved, jurors engage in debate necessary to attainment of just verdicts)
(pestering, may erode, citizens ' willingness serve)
(Today, has, ruling)
(Today 's ruling, will also prompt, their friends contact)
(pestering, may erode, citizens ' willingness serve on juries)
(Today 's ruling, will prompt, their friends contact)
(today, has, decision)
(post-verdict contact, is with, jurors)
(rules, will survive, today 's decision)
(approaches, are, Where permitted)
(post-verdict approaches, are, Where permitted)
(approaches, are, permitted)
(increase, is in, harassment)
(post-verdict approaches, are, permitted)
(his consent, rested on, false considerations)
(his own consent, rested on, false considerations)
(truth, will, will hard)
(majority 's approach, will also undermine, finality of verdicts)
(majority 's approach, will undermine, finality of verdicts)
(majority, has, approach)
(majority 's approach, will undermine, finality)
(majority 's approach, will also undermine, finality)
(policy, requires, finality)
(Public policy, requires finality to, litigation)
(Public policy, requires, finality)
(policy, requires finality to, litigation)
(120, at Tanner is, supra)
(discussion, expose jurors to, harassment)
(deprive, verdicts of, stability)
(full discussion, expose jurors to, harassment)
(full discussion, expose, jurors)
(discussion, deprive, verdicts)
(discussion, deprive, verdicts of stability)
(full discussion, deprive, verdicts of stability)
(majority, By, own logic)
(full discussion, deprive, verdicts)
(discussion, expose, jurors)
(jurisdictions, make, exception for racial bias)
(Court, has, only response)
(jurisdictions, already make, exception for bias)
(jurisdictions, exception for, racial bias)
(jurisdictions, make, exception)
(jurisdictions, already make, exception)
(jurisdictions, exception for, bias)
(Court, engage, searching)
(jurisdictions, make, exception for bias)
(jurisdictions, already make, exception for racial bias)
(jurors, is in, jurisdictions)
(jury deliberations, is in, different jurisdictions)
(Gathering evidence, would, would enterprise)
(Gathering evidence, would, would daunting enterprise)
(evidence, be, daunting)
(majority, engage with, policy issues implicated by no-impeachment rules)
(majority, barely bothers, engage with policy issues implicated by no-impeachment rules)
(majority, bothers, engage with policy issues implicated)
(majority, barely bothers, engage)
(majority, bothers, engage with policy issues implicated by no-impeachment rules)
(majority, engage with, policy issues implicated by rules)
(majority, barely bothers, engage with policy issues implicated)
(majority, barely bothers, engage with policy issues)
(majority, bothers, engage with policy issues implicated by rules)
(majority, barely bothers, engage with policy issues implicated by rules)
(majority, bothers, engage with policy issues)
(majority, barely bothers In, short)
(majority, engage with, policy issues implicated)
(majority, bothers, engage)
(majority, engage with, policy issues)
(majority, bothers In, short)
(it, had carefully grappled with, issues)
(it, even had grappled with, issues)
(it, even had carefully grappled with, issues)
(it, had grappled with, issues)
(Court, has, decision)
(Court 's decision, is, well-intentioned)
(it, is questionable, Court said years ago)
(it, is questionable, Court said)
(It, remedy, flaw in jury trial system)
(flaw, is in, jury trial system)
(it, is questionable, Court said ago)
(It, remedy, flaw)
(it, is, questionable)
(120, at Tanner is, 483 U. S.)
(juror affidavits, impeach, verdict on ground)
(juror affidavits, were received with, caution)
(juror affidavits, were, sometimes received)
(juror affidavits, were, received)
(juror affidavits, were sometimes received with, only caution)
(juror affidavits, were received with, great caution)
(juror affidavits, were received with, only great caution)
