(UNITED STATES, v. LOCKHART is, 2016)
(damages, claimed by, covered person)
(requiring, reimbursement for, attorneys ' fees)
(employee benefits, requiring, reimbursement)
(employee benefits, requiring, reimbursement for attorneys ' fees)
(series-qualifier rule, reflects, writing time)
(series-qualifier rule, writing at_time, time)
(its, superfluity, ante)
(majority, bolster, its incomplete description)
(summary statement, is in, Senate Report)
(majority, bolster, its description)
(reference, merely illustrates, my point)
(reference, illustrates, my point)
(Congress, also set of, state offenses relating)
(Congress, also set of, predicate state offenses relating to child pornography)
(Congress, also set of, state offenses relating to child pornography)
(Congress, added, also set)
(Congress, added, also set of state offenses relating to child pornography)
(Congress, set of, predicate state offenses relating)
(Congress, set of, state offenses relating to child pornography)
(Congress, also set of, state offenses)
(Congress, also set of, predicate state offenses relating)
(Congress, added, also set of predicate state offenses relating)
(Congress, added, set of predicate state offenses relating to child pornography)
(Congress, added, child)
(Congress, added, set of state offenses relating to child pornography)
(Congress, added, set)
(Congress, added, also set of predicate state offenses relating to child pornography)
(Congress, set of, state offenses)
(Congress, amending, b)
(Congress, added, also set of state offenses relating)
(Congress, set of, predicate state offenses)
(Congress, added, also set of predicate state offenses)
(Congress, added, set of state offenses)
(Congress, added, set of predicate state offenses)
(Congress, set of, state offenses relating)
(Congress, also set of, predicate state offenses)
(Congress, added, also set of state offenses)
(Congress, added, set of predicate state offenses relating)
(Congress, set of, predicate state offenses relating to child pornography)
(Congress, added, set of state offenses relating)
(Congress, provided, mandatory minimum sentence for individuals previously convicted of production)
(Congress, provided, sentence for individuals previously convicted of production)
(Congress, provided, minimum sentence for individuals convicted)
(Congress, provided, sentence)
(Congress, provided, minimum sentence for individuals previously convicted)
(Congress, provided, mandatory minimum sentence for individuals)
(Congress, provided, minimum sentence for individuals convicted of production)
(Congress, provided, mandatory minimum sentence for individuals convicted)
(Congress, provided, mandatory minimum sentence)
(Congress, provided, mandatory minimum sentence for individuals previously convicted)
(Congress, provided, mandatory sentence for individuals convicted of production)
(Congress, provided, sentence for individuals convicted of production)
(Congress, provided, sentence for individuals convicted)
(Congress, provided, mandatory sentence)
(Congress, provided, minimum sentence for individuals previously convicted of production)
(Congress, provided, sentence for individuals)
(Congress, provided, sentence for individuals previously convicted)
(Congress, provided, mandatory sentence for individuals previously convicted)
(Congress, provided, minimum sentence)
(Congress, provided, minimum sentence for individuals)
(Congress, provided, mandatory sentence for individuals convicted)
(Congress, provided, mandatory sentence for individuals previously convicted of production)
(Congress, provided, mandatory sentence for individuals)
(Congress, provided, mandatory minimum sentence for individuals convicted of production)
(Senate Report, described crimes, relating to production of child pornography)
(Senate Report, relating to, production of child pornography)
(Senate Report, described, predicate crimes)
(Senate Report, described crimes, relating)
(Senate Report, described crimes in, fashion)
(Senate Report, described crimes in, abbreviated fashion)
(Senate Report, described, crimes)
(Senate Report, described crimes, relating to production)
(Senate Report, relating to, production)
(majority, asserting, that)
(§ 2252, of one is, b)
(majority, makes, mistake)
(majority, makes, identical mistake)
(statute, covers offenses on, theory)
(majority, support, claim)
(statute, even covers offenses on, theory)
(letter, discussion of, sexual crimes against adult wards)
(letter, omits, discussion of sexual crimes against adult wards)
(elision, is, natural)
(elision, is, perfectly natural)
(DOJ, discussing, latter)
(DOJ, was focused on, offense)
(DOJ, was, focused)
(DOJ, was focused on, mine-run offense)
(opinion 's descriptions, skip, reference to wards)
(opinion, has, descriptions of § 2252)
(opinion 's descriptions, often skip, reference to wards)
(writer, as, choice avoid)
(fourth, sets out offense Unlike, fifth)
(fourth, sets out, independent offense)
(fourth, sets out, substantive offense)
(fourth, sets out, independent substantive offense)
(fourth, sets out offense Unlike, fifth through eighth sections)
(fourth, sets out, offense)
(fourth, sets out offense Unlike, fifth through eighth sections of chapter)
(fourth, sets out offense Unlike, fifth through sections)
(fourth, sets out offense Unlike, fifth through sections of chapter)
